location_flag	region	name	basis
52410610	Central Yharnam	Central Yharnam - Hunter Set (Aqueduct drop near Large Huntsman)	published (fixed_locations.tsv); exact item/area unique match to Bloodborne Wiki Central Yharnam treasure table; ledger flag 52410610
52411000	Central Yharnam	Central Yharnam - Blood Gem Workshop Tool (chest)	published (fixed_locations.tsv); hint from MSB in_chest
52420150	Upper Cathedral Ward	Upper Cathedral Ward - Choir Garb	map m24_02
52420190	Upper Cathedral Ward	Upper Cathedral Ward - Blindfold Cap	map m24_02
52420230	Upper Cathedral Ward	Upper Cathedral Ward - Gascoigne's Cap	map m24_02
52420250	Upper Cathedral Ward	Upper Cathedral Ward - Ludwig's Rifle	map m24_02
52420270	Upper Cathedral Ward	Upper Cathedral Ward - Cosmic Eye Watcher Badge	published (data.py treasure_cosmic_eye_watcher_badge)
52420320	Upper Cathedral Ward	Upper Cathedral Ward - A Call Beyond	flag is shared between a m24_00 dummy corpse and the real m24_02 placement; named for the real one
52420540	Cathedral Ward	Cathedral Ward - Rumpled Yharnam Hat (workshop-tower back alley)	event tag C_路地裏 脇道; sub-area assignment open
52420550	Cathedral Ward	Cathedral Ward - Wooden Shield	map m24_00
52420670	Cathedral Ward	Cathedral Ward - Messenger Top Hat (Grand Cathedral approach)	map m24_00; hint from lot tag 聖C前 (m24_00_00_00)
52420730	Cathedral Ward	Cathedral Ward - Messenger Urn Festival	map m24_00
52500160	Castle Cainhurst	Castle Cainhurst - Noble Dress (chest)	map m25_00; hint from MSB in_chest
52500170	Castle Cainhurst	Castle Cainhurst - Vileblood Register (chest)	map m25_00; hint from MSB in_chest
52500250	Castle Cainhurst	Castle Cainhurst - Executioner's Gloves (chest)	published (data.py treasure_executioners_gloves); hint from MSB in_chest
52501000	Castle Cainhurst	Castle Cainhurst - Reiterpallasch (chest)	map m25_00; event tag 宝箱_00; hint from MSB in_chest
52501020	Castle Cainhurst	Castle Cainhurst - Executioner Garb	map m25_00; event tag 宝箱_02
52501050	Castle Cainhurst	Castle Cainhurst - Knight's Wig	map m25_00; event tag 宝箱_05
52501070	Castle Cainhurst	Castle Cainhurst - Knight's Garb (chest)	map m25_00; event tag 宝箱_07; hint from MSB in_chest
52501080	Castle Cainhurst	Castle Cainhurst - Evelyn (chest)	map m25_00; event tag 宝箱_08; hint from MSB in_chest
52600550	Nightmare of Mensis	Nightmare of Mensis - Iron Door Key (Nightmare Host corpse)	event tag 悪夢の主宝死体
52600600	Nightmare of Mensis	Nightmare of Mensis - Choir Bell (chest)	map m26_00; event tag 宝箱_03; hint from MSB in_chest
52600610	Nightmare of Mensis	Nightmare of Mensis - Iron Door Key #2	unestablished — same-region duplicate of 52600550 with no distinguishing tag
52601000	Nightmare of Mensis	Nightmare of Mensis - Iosefka's Blood Vial (Micolash arena chest)	map m26_00; event tag 宝箱_00; arena attribution is reviewer-checkable game knowledge
52700120	Forbidden Woods	Forbidden Woods - Cannon	map m27_00
52700150	Forbidden Woods	Forbidden Woods - White Church Hat	map m27_00
52700410	Forbidden Woods	Forbidden Woods - Graveguard Robe	map m27_00
52700480	Forbidden Woods	Forbidden Woods - Beast Roar	map m27_00
52700560	Forbidden Woods	Forbidden Woods - Graveguard Mask	map m27_00
52700800	Forbidden Woods	Forbidden Woods - Burial Blade (chest)	map m27_00; event tag 宝箱00; hint from MSB in_chest
52800100	Yahar'gul	Yahar'gul - Iron Yahar'gul Helm	map m28_00
52800290	Yahar'gul	Yahar'gul - Upper Cathedral Key (mummified corpse)	published (data.py pickup_upper_cathedral_key); event tag 宝死体29_ミイラ; hint from lot tag ミイラ (m28_00_00_00)
52800330	Yahar'gul	Yahar'gul - Tonitrus (main street dead end)	event tag 宝死体33_初回_大通り終点
52800500	Yahar'gul	Yahar'gul - Tiny Tonitrus (chest)	map m28_00; event tag 宝箱00; hint from MSB in_chest
52800510	Yahar'gul	Yahar'gul - Choir Bell (chest)	map m28_00; event tag 宝箱01; hint from MSB in_chest
52800520	Yahar'gul	Yahar'gul - Bone Ash Mask (chest)	map m28_00; event tag 宝箱02; hint from MSB in_chest
52800610	Yahar'gul	Yahar'gul - Black Hooded Iron Helm and Yahar'gul Black Garb (coachman's seat)	event tag 宝死体46_御者席; one corpse awards both lots
53200500	Lecture Building 2F	Lecture Building 2F - Empty Phantasm Shell (observatory chest)	event tag 宝箱00_学長室天文台; floor follows the headmaster's-room tag
53200540	Lecture Building 2F	Lecture Building 2F - Student Uniform (Headmaster's Room chest)	event tag 宝箱04_学長室2F
53200600	Lecture Building 1F	Lecture Building 1F - Augur of Ebrietas (classroom chest)	published (data.py treasure_augur_of_ebrietas); event tag 宝箱10_悪夢教室1F; hint from lot tag 教室 (m32_00_00_00); hint from MSB in_chest
53200720	Lecture Building 2F	Lecture Building 2F - Lecture Theatre Key	published (data.py treasure_lecture_theatre_key)
53200730	Lecture Building 2F	Lecture Building 2F - Student Uniform #2	unestablished — event tag 追加宝死体03; floor assignment open
53300330	Nightmare Frontier	Nightmare Frontier - Messenger's Gift	published (data.py treasure_messengers_gift)
53400020	Hunter's Nightmare	Hunter's Nightmare - Old Hunter Trousers	map m34_00
53400040	Hunter's Nightmare	Hunter's Nightmare - Old Hunter Garb	map m34_00
53400060	Hunter's Nightmare	Hunter's Nightmare - Beast Cutter	map m34_00
53400130	Hunter's Nightmare	Hunter's Nightmare - Boom Hammer	map m34_00
53400160	Hunter's Nightmare	Hunter's Nightmare - Old Hunter Top Hat	map m34_00
53400220	Hunter's Nightmare	Hunter's Nightmare - Amygdalan Arm	map m34_00
53400270	Hunter's Nightmare	Hunter's Nightmare - Constable's Garb	map m34_00
53400280	Hunter's Nightmare	Hunter's Nightmare - Whirligig Saw	map m34_00
53400350	Hunter's Nightmare	Hunter's Nightmare - Constable's Gloves	map m34_00
53400360	Hunter's Nightmare	Hunter's Nightmare - Constable's Trousers	map m34_00
53400440	Hunter's Nightmare	Hunter's Nightmare - Beasthunter Saif	map m34_00
53400510	Hunter's Nightmare	Hunter's Nightmare - Butcher Mask	map m34_00
53400580	Hunter's Nightmare	Hunter's Nightmare - Old Hunter Cap	map m34_00
53400600	Hunter's Nightmare	Hunter's Nightmare - Old Hunter Gloves	two-lot row (Old Hunter Gloves plus an incidental Blood Vial); named for the unique item
53500800	Research Hall	Research Hall - Underground Cell Key	map m35_00
53500810	Research Hall	Research Hall - Fist of Gratia (underground cell)	event tag 地下牢04
53500820	Research Hall	Research Hall - Enlarged Head	map m35_00
53500830	Research Hall	Research Hall - Blacksky Eye (sunflower patient room)	event tag ひまわり畑の椅子
53500850	Research Hall	Research Hall - Church Cannon (lower sanctum chest)	event tag 宝箱【聖堂下層】
53500860	Research Hall	Research Hall - Loch Shield (tower)	map m35_00; hint from lot tag 時計塔 (m35_00_00_00)
53500870	Research Hall	Research Hall - Decorative Old Hunter Garb	event tag 時計塔_2F右四足部屋ハンター
53600700	Fishing Hamlet	Fishing Hamlet - Harrowed Hood	event tag 宝死体_ハンター
52100000	Hunter's Dream	Hunter's Dream - Pebble	map m21_00; MSB NPC anchors 拠点老人/人形のヒロイン (Gehrman and the Doll) place m21_00 as the Hunter's Dream hub; lot name アイテム使用チュートリアル
12101800	Hunter's Dream	Gehrman, the First Hunter	m21_00 EMEVD boss-completion event 12101800
12101850	Hunter's Dream	Moon Presence	m21_00 EMEVD boss-completion event 12101850
52200100	Hemwick Charnel Lane	Hemwick Charnel Lane - Pebble x4 #1	map m22_00; unestablished
52200110	Hemwick Charnel Lane	Hemwick Charnel Lane - Twin Blood Stone Shards	map m22_00
52200120	Hemwick Charnel Lane	Hemwick Charnel Lane - Twin Blood Stone Shards x2 #1	map m22_00; unestablished
52200130	Hemwick Charnel Lane	Hemwick Charnel Lane - Thick Coldblood (4) #1	map m22_00; unestablished
52200140	Hemwick Charnel Lane	Hemwick Charnel Lane - Twin Blood Stone Shards x2 #2	map m22_00; unestablished
52200150	Hemwick Charnel Lane	Hemwick Charnel Lane - Blood Vial x2 #1	map m22_00; unestablished
52200160	Hemwick Charnel Lane	Hemwick Charnel Lane - Bone Marrow Ash x8 #1	map m22_00; unestablished
52200170	Hemwick Charnel Lane	Hemwick Charnel Lane - Bone Marrow Ash x8 #2	map m22_00; unestablished
52200180	Hemwick Charnel Lane	Hemwick Charnel Lane - Bloodshot Eyeball #1	map m22_00; unestablished
52200190	Hemwick Charnel Lane	Hemwick Charnel Lane - Blood Gem #1	map m22_00; category-8 blood gem (gem param 122000); specific gem name not in committed data; unestablished
52200200	Hemwick Charnel Lane	Hemwick Charnel Lane - Madman's Knowledge #1	map m22_00; unestablished
52200210	Hemwick Charnel Lane	Hemwick Charnel Lane - Coldblood Dew (3)	map m22_00
52200220	Hemwick Charnel Lane	Hemwick Charnel Lane - Twin Blood Stone Shards x2 #3	map m22_00; unestablished
52200230	Hemwick Charnel Lane	Hemwick Charnel Lane - Quicksilver Bullets x4 #1	map m22_00; unestablished
52200240	Hemwick Charnel Lane	Hemwick Charnel Lane - Thick Coldblood (4) #2	map m22_00; unestablished
52200250	Hemwick Charnel Lane	Hemwick Charnel Lane - Quicksilver Bullets x4 #2	map m22_00; unestablished
52200260	Hemwick Charnel Lane	Hemwick Charnel Lane - Throwing Knife x3	map m22_00
52200270	Hemwick Charnel Lane	Hemwick Charnel Lane - Thick Coldblood (4) #3	map m22_00; unestablished
52200280	Hemwick Charnel Lane	Hemwick Charnel Lane - Blood Gem #2 (chest)	map m22_00; category-8 blood gem (gem param 122001); specific gem name not in committed data; unestablished; hint from MSB in_chest
52200290	Hemwick Charnel Lane	Hemwick Charnel Lane - Madman's Knowledge #2	map m22_00; unestablished
52200300	Hemwick Charnel Lane	Hemwick Charnel Lane - Pebble x4 #2	map m22_00; unestablished
52200310	Hemwick Charnel Lane	Hemwick Charnel Lane - Quicksilver Bullets x4 #3	map m22_00; unestablished
52200320	Hemwick Charnel Lane	Hemwick Charnel Lane - Thick Coldblood (4) #4	map m22_00; unestablished
52200330	Hemwick Charnel Lane	Hemwick Charnel Lane - Bone Marrow Ash x9	map m22_00
52200340	Hemwick Charnel Lane	Hemwick Charnel Lane - Thick Coldblood (4) #5	map m22_00; unestablished
52200350	Hemwick Charnel Lane	Hemwick Charnel Lane - Blood Vial x2 #2	map m22_00; unestablished
52200365	Hemwick Charnel Lane	Hemwick Charnel Lane - Kin Coldblood (12)	map m22_00
52200370	Hemwick Charnel Lane	Hemwick Charnel Lane - Bloodshot Eyeball #2	map m22_00; unestablished
52200380	Hemwick Charnel Lane	Hemwick Charnel Lane - Blood Gem #3	map m22_00; category-8 blood gem (gem param 101701); specific gem name not in committed data; unestablished
52200385	Hemwick Charnel Lane	Hemwick Charnel Lane - Madman's Knowledge #3	map m22_00; unestablished
52200390	Hemwick Charnel Lane	Hemwick Charnel Lane - Madman's Knowledge #4	map m22_00; unestablished
52200400	Hemwick Charnel Lane	Hemwick Charnel Lane - Molotov Cocktail x5	map m22_00
52300000	Old Yharnam	Old Yharnam - Antidote #1	map m23_00; unestablished
52300010	Old Yharnam	Old Yharnam - Blood Stone Shard x2 #1	map m23_00; unestablished
52300020	Old Yharnam	Old Yharnam - Blood Stone Shard #1	map m23_00; unestablished
52300030	Old Yharnam	Old Yharnam - Fire Paper x2 #1	map m23_00; unestablished
52300040	Old Yharnam	Old Yharnam - Blood Gem (corpse)	map m23_00; category-8 blood gem (gem param 123000); specific gem name not in committed data; event tag 宝死体
52300050	Old Yharnam	Old Yharnam - Coldblood Dew (3) #1	map m23_00; unestablished
52300060	Old Yharnam	Old Yharnam - Blood Stone Shard x2 #2	map m23_00; unestablished
52300080	Old Yharnam	Old Yharnam - Coldblood Dew (2) #1 (bell-tower ladder off the right path from the lamp)	Bloodborne Wiki Old Yharnam treasure table identifies the first Coldblood Dew (2) as the pickup up the ladder on the right-side path from the lamp; ledger flag 52300080
52300090	Old Yharnam	Old Yharnam - Blood Vial #1	map m23_00; unestablished
52300100	Old Yharnam	Old Yharnam - Blood Vial #2	map m23_00; unestablished
52300110	Old Yharnam	Old Yharnam - Blood Vial #3	map m23_00; unestablished
52300120	Old Yharnam	Old Yharnam - Beast Blood Pellet x6	map m23_00
52300130	Old Yharnam	Old Yharnam - Coldblood Dew (3) #2	map m23_00; unestablished
52300140	Old Yharnam	Old Yharnam - Blood Stone Shard x2 #3	map m23_00; unestablished
52300150	Old Yharnam	Old Yharnam - Blood Stone Shard x2 #4	map m23_00; unestablished
52300160	Old Yharnam	Old Yharnam - Madman's Knowledge #1	map m23_00; unestablished
52300170	Old Yharnam	Old Yharnam - Ritual Blood (1) x2 (chest)	map m23_00; hint from MSB in_chest
52300180	Old Yharnam	Old Yharnam - Pungent Blood Cocktail x3	map m23_00
52300190	Old Yharnam	Old Yharnam - Fire Paper x2 #2	map m23_00; unestablished
52300210	Old Yharnam	Old Yharnam - Antidote #2	map m23_00; unestablished
52300220	Old Yharnam	Old Yharnam - Molotov Cocktail x4	map m23_00
52300230	Old Yharnam	Old Yharnam - Blood Stone Shard x2 #5	map m23_00; unestablished
52300240	Old Yharnam	Old Yharnam - Blood Vial x6 #1	map m23_00; unestablished
52300250	Old Yharnam	Old Yharnam - Pebble x3	map m23_00
52300260	Old Yharnam	Old Yharnam - Molotov Cocktail x3	map m23_00
52300270	Old Yharnam	Old Yharnam - Corpse Pickup	map m23_00; goods param 6000 has no English name in committed data; named by placement until FMG extraction
52300280	Old Yharnam	Old Yharnam - Antidote x4	map m23_00
52300290	Old Yharnam	Old Yharnam - Coldblood Dew (2) #2	map m23_00; unestablished
52300300	Old Yharnam	Old Yharnam - Blood Gem (chest)	map m23_00; category-8 blood gem (gem param 123001); specific gem name not in committed data; event tag 宝箱
52300310	Old Yharnam	Old Yharnam - Antidote x3 #1	map m23_00; unestablished
52300320	Old Yharnam	Old Yharnam - Antidote x3 #2	map m23_00; unestablished
52300330	Old Yharnam	Old Yharnam - Quicksilver Bullets x10	map m23_00
52300340	Old Yharnam	Old Yharnam - Coldblood Dew (3) #3	map m23_00; unestablished
52300350	Old Yharnam	Old Yharnam - Blood Stone Shard #2	map m23_00; unestablished
52300360	Old Yharnam	Old Yharnam - Madman's Knowledge #2	map m23_00; unestablished
52300370	Old Yharnam	Old Yharnam - Coldblood Dew (2) #3	map m23_00; unestablished
52300380	Old Yharnam	Old Yharnam - Blood Vial x6 #2	map m23_00; unestablished
52300410	Old Yharnam	Old Yharnam - Molotov Cocktail x5	map m23_00
52300420	Old Yharnam	Old Yharnam - Antidote x2	map m23_00
52300430	Old Yharnam	Old Yharnam - Antidote x3 #3	map m23_00; unestablished
52300440	Old Yharnam	Old Yharnam - Pungent Blood Cocktail x2	map m23_00
52300450	Old Yharnam	Old Yharnam - Antidote #3	map m23_00; unestablished
52300460	Old Yharnam	Old Yharnam - Bold Hunter's Mark x2	map m23_00
52300470	Old Yharnam	Old Yharnam - Coldblood Dew (2) #4	map m23_00; unestablished
52300480	Old Yharnam	Old Yharnam - Blood Vial x6 #3	map m23_00; unestablished
52300490	Old Yharnam	Old Yharnam - Antidote x3 #4	map m23_00; unestablished
52300500	Old Yharnam	Old Yharnam - Coldblood Dew (2) #5	map m23_00; unestablished
52300510	Old Yharnam	Old Yharnam - Blood Stone Shard x2 #6	map m23_00; unestablished
52300520	Old Yharnam	Old Yharnam - Coldblood Dew (3) #4	map m23_00; unestablished
52300530	Old Yharnam	Old Yharnam - Antidote x3 #5	map m23_00; unestablished
52400100	Cathedral Ward	Cathedral Ward - Pungent Blood Cocktail x2 (Grand Cathedral approach chest)	map m24_00; hint from lot tag 聖C前 (m24_00_00_00); hint from MSB in_chest
52400130	Cathedral Ward	Cathedral Ward - Blood Stone Shard x2	map m24_00
52400140	Cathedral Ward	Cathedral Ward - Madman's Knowledge #1	map m24_00; unestablished
52400150	Cathedral Ward	Cathedral Ward - Thick Coldblood (5) #1	map m24_00; unestablished
52400160	Cathedral Ward	Cathedral Ward - Quicksilver Bullets x2	map m24_00
52400170	Cathedral Ward	Cathedral Ward - Madman's Knowledge #2	map m24_00; unestablished
52400180	Cathedral Ward	Cathedral Ward - Bloodshot Eyeball	map m24_00
52400190	Cathedral Ward	Cathedral Ward - Blood Vial	map m24_00
52400200	Cathedral Ward	Cathedral Ward - Madman's Knowledge #3	map m24_00; unestablished
52400210	Cathedral Ward	Cathedral Ward - Poison Knife x12	map m24_00
52400220	Cathedral Ward	Cathedral Ward - Madman's Knowledge #4	map m24_00; unestablished
52400230	Cathedral Ward	Cathedral Ward - Blood Vial x6 #1	map m24_00; unestablished
52400240	Cathedral Ward	Cathedral Ward - Monocular	map m24_00
52400250	Cathedral Ward	Cathedral Ward - Pebble	map m24_00
52400260	Cathedral Ward	Cathedral Ward - Blood Vial x2	map m24_00
52400280	Cathedral Ward	Cathedral Ward - Numbing Mist x6	map m24_00
52400300	Cathedral Ward	Cathedral Ward - Blood Gem #1	map m24_00; category-8 blood gem (gem param 124002); specific gem name not in committed data; unestablished
52400310	Cathedral Ward	Cathedral Ward - Shining Coins x12	map m24_00
52400320	Cathedral Ward	Cathedral Ward - Blood Vial x6 #2	map m24_00; unestablished
52400330	Cathedral Ward	Cathedral Ward - Blood Stone Shard x3	map m24_00
52400340	Cathedral Ward	Cathedral Ward - Quicksilver Bullets x10	map m24_00
52400350	Cathedral Ward	Cathedral Ward - Thick Coldblood (4) #1	map m24_00; unestablished
52400360	Cathedral Ward	Cathedral Ward - Madman's Knowledge #5	map m24_00; unestablished
52400370	Cathedral Ward	Cathedral Ward - Thick Coldblood (6) #1 (Grand Cathedral approach)	map m24_00; unestablished; hint from lot tag 聖C前 (m24_00_00_00)
52400380	Cathedral Ward	Cathedral Ward - Throwing Knife x3	map m24_00
52400390	Cathedral Ward	Cathedral Ward - Molotov Cocktail x4	map m24_00
52400400	Cathedral Ward	Cathedral Ward - Coldblood Dew (2)	map m24_00
52400410	Cathedral Ward	Cathedral Ward - Madman's Knowledge #6 (Grand Cathedral approach)	map m24_00; unestablished; hint from lot tag 聖C前 (m24_00_00_00)
52400420	Cathedral Ward	Cathedral Ward - Thick Coldblood (6) #2 (Grand Cathedral approach)	map m24_00; unestablished; hint from lot tag 聖C前 (m24_00_00_00)
52400430	Cathedral Ward	Cathedral Ward - Blood Gem #2 (Grand Cathedral approach)	map m24_00; category-8 blood gem (gem param 124003); specific gem name not in committed data; unestablished; hint from lot tag 聖C前 (m24_00_00_00)
52400440	Cathedral Ward	Cathedral Ward - Thick Coldblood (6) #3 (Grand Cathedral approach)	map m24_00; unestablished; hint from lot tag 聖C前 (m24_00_00_00)
52400460	Cathedral Ward	Cathedral Ward - Thick Coldblood (5) #2	map m24_00; unestablished
52400470	Cathedral Ward	Cathedral Ward - Thick Coldblood (4) #2	map m24_00; unestablished
52400485	Cathedral Ward	Cathedral Ward - Bold Hunter's Mark (Grand Cathedral approach chest)	map m24_00; hint from lot tag 聖C前 (m24_00_00_00); hint from MSB in_chest
52410110	Central Yharnam	Central Yharnam - Blood Stone Shard x2 (sewer channel beam)	published (fixed_locations.tsv); replaced the "(Lot 2410110)" placeholder under the #75 rename; map m24_01; hint hand-written: MSB pairs lot 2410110 with the Saw Spear corpse 2410100: same model o240611, same start_disabled hanging corpse, 16.3 units apart over the sewer channel
52410120	Central Yharnam	Central Yharnam - Blood Vial x2 #1 (bridge side)	published (fixed_locations.tsv); replaced the "(Lot 2410120)" placeholder under the #75 rename; map m24_01; unestablished; hint from lot tag 前半 (m24_01_00_00)
52410130	Central Yharnam	Central Yharnam - Coldblood Dew (1) #1 (clinic backstreets)	published (fixed_locations.tsv); replaced the "(Lot 2410130)" placeholder under the #75 rename; map m24_01; unestablished; hint from lot tag 裏 (m24_01_00_00)
52410140	Iosefka's Clinic	Iosefka's Clinic - Madman's Knowledge (corpse)	published (fixed_locations.tsv); replaced the "(Lot 2410140)" placeholder under the #75 rename; map m24_01; coordinates (-211,-54,184) at the MSB 診療所外 (outside the clinic) warp anchor; event tag 宝死体
52410150	Central Yharnam	Central Yharnam - Coldblood Dew (1) #2 (bridge side)	published (fixed_locations.tsv); replaced the "(Lot 2410150)" placeholder under the #75 rename; map m24_01; unestablished; hint from lot tag 前半 (m24_01_00_00)
52410160	Central Yharnam	Central Yharnam - Pebble x8 (bridge side)	published (fixed_locations.tsv); replaced the "(Lot 2410160)" placeholder under the #75 rename; map m24_01; hint from lot tag 前半 (m24_01_00_00)
52410170	Central Yharnam	Central Yharnam - Blood Stone Shard #1 (bridge side)	published (fixed_locations.tsv); replaced the "(Lot 2410170)" placeholder under the #75 rename; map m24_01; unestablished; hint from lot tag 前半 (m24_01_00_00)
52410180	Central Yharnam	Central Yharnam - Blood Stone Shard #2 (bridge side)	published (fixed_locations.tsv); replaced the "(Lot 2410180)" placeholder under the #75 rename; map m24_01; unestablished; hint from lot tag 前半 (m24_01_00_00)
52410190	Central Yharnam	Central Yharnam - Blood Vial x2 #2 (bridge side)	published (fixed_locations.tsv); replaced the "(Lot 2410190)" placeholder under the #75 rename; map m24_01; unestablished; hint from lot tag 前半 (m24_01_00_00)
52410200	Central Yharnam	Central Yharnam - Molotov Cocktail x4 #1 (Plaza gate)	published (fixed_locations.tsv); Bloodborne Wiki Central Yharnam treasure table places the x4 stack at the rumbling Plaza gate; ledger flag 52410200
52410210	Central Yharnam	Central Yharnam - Blood Stone Shard #3 (bridge side)	published (fixed_locations.tsv); replaced the "(Lot 2410210)" placeholder under the #75 rename; map m24_01; unestablished; hint from lot tag 前半 (m24_01_00_00)
52410220	Central Yharnam	Central Yharnam - Pungent Blood Cocktail x2 (bridge side)	published (fixed_locations.tsv); replaced the "(Lot 2410220)" placeholder under the #75 rename; map m24_01; hint from lot tag 前半 (m24_01_00_00)
52410240	Central Yharnam	Central Yharnam - Coldblood Dew (3) (sewer side)	published (fixed_locations.tsv); replaced the "(Lot 2410240)" placeholder under the #75 rename; map m24_01; hint from lot tag 後半 (m24_01_00_00)
52410250	Central Yharnam	Central Yharnam - Madman's Knowledge #1 (bridge side)	published (fixed_locations.tsv); replaced the "(Lot 2410250)" placeholder under the #75 rename; map m24_01; unestablished; hint from lot tag 前半 (m24_01_00_00)
52410260	Central Yharnam	Central Yharnam - Coldblood Dew (1) #3 (sewer side)	published (fixed_locations.tsv); replaced the "(Lot 2410260)" placeholder under the #75 rename; map m24_01; unestablished; hint from lot tag 後半 (m24_01_00_00)
52410270	Central Yharnam	Central Yharnam - Quicksilver Bullets x10 #1 (sewer side)	published (fixed_locations.tsv); replaced the "(Lot 2410270)" placeholder under the #75 rename; map m24_01; unestablished; hint from lot tag 後半 (m24_01_00_00)
52410280	Central Yharnam	Central Yharnam - Coldblood Dew (2) (sewer side)	published (fixed_locations.tsv); replaced the "(Lot 2410280)" placeholder under the #75 rename; map m24_01; hint from lot tag 後半 (m24_01_00_00)
52410295	Central Yharnam	Central Yharnam - Bold Hunter's Mark	published (fixed_locations.tsv); replaced the "(Lot 2410295)" placeholder under the #75 rename; map m24_01
52410310	Central Yharnam	Central Yharnam - Pebble x10 (bridge side)	published (fixed_locations.tsv); replaced the "(Lot 2410310)" placeholder under the #75 rename; map m24_01; hint from lot tag 前半 (m24_01_00_00)
52410330	Central Yharnam	Central Yharnam - Blood Stone Shard #4 (bridge side)	published (fixed_locations.tsv); replaced the "(Lot 2410330)" placeholder under the #75 rename; map m24_01; unestablished; hint from lot tag 前半 (m24_01_00_00)
52410340	Central Yharnam	Central Yharnam - Blood Vial x4 (bridge side)	published (fixed_locations.tsv); replaced the "(Lot 2410340)" placeholder under the #75 rename; map m24_01; hint from lot tag 前半 (m24_01_00_00)
52410360	Central Yharnam	Central Yharnam - Blood Vial x2 #3 (bridge side)	published (fixed_locations.tsv); replaced the "(Lot 2410360)" placeholder under the #75 rename; map m24_01; unestablished; hint from lot tag 前半 (m24_01_00_00)
52410370	Central Yharnam	Central Yharnam - Oil Urn x2 #1 (bridge side)	published (fixed_locations.tsv); replaced the "(Lot 2410370)" placeholder under the #75 rename; map m24_01; unestablished; hint from lot tag 前半 (m24_01_00_00)
52410380	Central Yharnam	Central Yharnam - Blood Vial x2 #4 (Plaza gate)	published (fixed_locations.tsv); MSB coordinates place it in the same three-prop Plaza gate cluster as lots 2410200 and 2410520; ledger flag 52410380
52410390	Central Yharnam	Central Yharnam - Blood Vial x6 (bridge side)	published (fixed_locations.tsv); replaced the "(Lot 2410390)" placeholder under the #75 rename; map m24_01; hint from lot tag 前半 (m24_01_00_00)
52410400	Central Yharnam	Central Yharnam - Blood Stone Shard #5 (bridge side)	published (fixed_locations.tsv); replaced the "(Lot 2410400)" placeholder under the #75 rename; map m24_01; unestablished; hint from lot tag 前半 (m24_01_00_00)
52410430	Central Yharnam	Central Yharnam - Quicksilver Bullets x10 #2 (bridge side)	published (fixed_locations.tsv); replaced the "(Lot 2410430)" placeholder under the #75 rename; map m24_01; unestablished; hint from lot tag 前半 (m24_01_00_00)
52410440	Central Yharnam	Central Yharnam - Coldblood Dew (1) #4 (sewer side)	published (fixed_locations.tsv); replaced the "(Lot 2410440)" placeholder under the #75 rename; map m24_01; unestablished; hint from lot tag 後半 (m24_01_00_00)
