key	name	region	location_flag	item_lot_id	item_category	item_id	classification	source_kind	source_ref	vanilla_award_suppressed
fixed_central_yharnam_lot_2410490	Central Yharnam - Blood Stone Shard #6	Central Yharnam	52410490	2410490	4	3000	filler	treasure	m24_01_00_00;m24_01_00_01;m24_01_00_11	True
fixed_central_yharnam_lot_2410510	Central Yharnam - Bold Hunter's Mark x2	Central Yharnam	52410510	2410510	4	1400	filler	treasure	m24_01_00_00;m24_01_00_01;m24_01_00_11	True
fixed_torch	Central Yharnam - Torch	Central Yharnam	52410520	2410520	0	20100000	useful	treasure	m24_01_00_00;m24_01_00_01;m24_01_00_11	True
fixed_central_yharnam_lot_2410530	Central Yharnam - Coldblood Dew (1) #6	Central Yharnam	52410530	2410530	4	1510	filler	treasure	m24_01_00_00;m24_01_00_01;m24_01_00_11	True
fixed_central_yharnam_lot_2410540	Central Yharnam - Blood Stone Shard #7	Central Yharnam	52410540	2410540	4	3000	filler	treasure	m24_01_00_00;m24_01_00_01;m24_01_00_11	True
fixed_central_yharnam_lot_2410560	Central Yharnam - Quicksilver Bullets x5	Central Yharnam	52410560	2410560	4	900	filler	treasure	m24_01_00_00;m24_01_00_01;m24_01_00_11	True
fixed_central_yharnam_lot_2410570	Central Yharnam - Molotov Cocktail x4 #2	Central Yharnam	52410570	2410570	4	1200	filler	treasure	m24_01_00_00;m24_01_00_01;m24_01_00_11	True
fixed_central_yharnam_lot_2410590	Central Yharnam - Molotov Cocktail x6	Central Yharnam	52410590	2410590	4	1200	filler	treasure	m24_01_00_00;m24_01_00_01;m24_01_00_11	True
fixed_central_yharnam_lot_2410600	Central Yharnam - Coldblood Dew (1) #7	Central Yharnam	52410600	2410600	4	1510	filler	treasure	m24_01_00_00;m24_01_00_01;m24_01_00_11	True
fixed_central_yharnam_lot_2410610	Central Yharnam - Hunter Set	Central Yharnam	52410610	2410610	1	70000	useful	treasure	m24_01_00_00;m24_01_00_01;m24_01_00_11	True
fixed_central_yharnam_lot_2410620	Central Yharnam - Thick Coldblood (5)	Central Yharnam	52410620	2410620	4	1514	filler	treasure	m24_01_00_00;m24_01_00_01;m24_01_00_11	True
fixed_central_yharnam_lot_2410630	Central Yharnam - Coldblood Dew (1) #8	Central Yharnam	52410630	2410630	4	1510	filler	treasure	m24_01_00_00;m24_01_00_01;m24_01_00_11	True
fixed_central_yharnam_lot_2410640	Iosefka's Clinic - Blood Gem	Central Yharnam	52410640	2410640	8	102903	optional	treasure	m24_01_00_00;m24_01_00_01;m24_01_00_11	True
fixed_central_yharnam_lot_2410650	Central Yharnam - Blood Stone Shard #8	Central Yharnam	52410650	2410650	4	3000	filler	treasure	m24_01_00_00;m24_01_00_01;m24_01_00_11	True
fixed_iosefka_courtyard_bullets	Central Yharnam - Iosefka Courtyard Quicksilver Bullets x10	Central Yharnam	52410800	2410800	4	900	filler	treasure	m24_01_00_00;m24_01_00_01;m24_01_00_11	True
fixed_central_yharnam_lot_2410920	Central Yharnam - Red Jeweled Brooch	Central Yharnam	52410920	2410920	4	4306	filler	treasure	m24_01_00_00;m24_01_00_01;m24_01_00_11	True
fixed_blood_gem_workshop_tool	Central Yharnam - Blood Gem Workshop Tool	Central Yharnam	52411000	2411000	4	4103	key_or_badge	treasure	m24_01_00_00;m24_01_00_01;m24_01_00_11	True
