item_lot_id	lot_name	slot	item_category	item_id	item_param_name	normalized_runtime_id	raw_runtime_descriptor	quantity	base_points	slot_acquisition_flag	generic_acquisition_flag	all_acquisition_flags
28040	娼婦_娼婦が産んだ赤子_殺害時ドロップアイテム	01	4	4321	3本目のへその緒B	0x400010E1	0xB00010E1	1	100	0	50001205	50001205
29000	重病人_死の間際にくれるアイテム	01	0	18100000				1	100	0	-1	
29010	重病人_異形ビーストになったときのドロップアイテム	01	8	100502				1	100	0	50001300	50001300
29011	重病人_異形ビーストになったときのドロップアイテム（差し替え用）	01	4	1500	SAN値回復＋1	0x400005DC	0xB00005DC	1	100	0	50001301	50001301
30000	少女_母親を探すと答えたときにもらえるもの	01	4	700	ガスコインのオルゴール	0x400002BC	0xB00002BC	1	100	0	-1	
30010	少女_避難所を教えるか真っ赤なブローチを渡したあとの豚のドロップアイテム	01	4	4904	メッセンジャー装備（臓物まみれの白いリボン）	0x40001328	0xB0001328	1	100	0	50001400	50001400
30020	少女_診療所_月使者になっている際の死亡ドロップ	01	8	103101				1	100	0	50001500	50001500
30021	少女_診療所_月使者になっている際の死亡ドロップ（差し替え用）	01	4	1500	SAN値回復＋1	0x400005DC	0xB00005DC	1	100	0	50001505	50001505
31000	ガスコイン神父_撃破時ドロップアイテム	01	4	4000	聖堂街Bの鍵	0x40000FA0	0xB0000FA0	1	100	0	-1	
32000	囚われの尼僧_助けたときのお礼	01	4	1500	SAN値回復＋1	0x400005DC	0xB00005DC	1	100	0	-1	
32010	囚われの尼僧_生贄の街で野垂れ死に死体から拾えるアイテム	01	8	100701				1	100	0	50001600	50001600
32011	囚われの尼僧_生贄の街で野垂れ死に死体から拾えるアイテム(差し替え用）	01	4	1500	SAN値回復＋1	0x400005DC	0xB00005DC	1	100	0	50001601	50001601
32020	囚われの尼僧_避難所での血の施し	01	4	702	囚われの尼僧の血	0x400002BE	0xB00002BE	1	100	0	-1	
32030	囚われの尼僧_死亡時ドロップアイテム	01	8	100701				1	100	0	50001610	50001610
32031	囚われの尼僧_死亡時ドロップアイテム（前の周で取得時）	01	4	1500	SAN値回復＋1	0x400005DC	0xB00005DC	1	100	0	50001611	50001611
33000	獣の守護者_友好関係になったときにもらえる餞別	01	4	4112	ショップ解禁　工房ショップB	0x40001010	0xB0001010	1	100	0	50001700	50001700
33001	獣の守護者_友好関係になったときにもらえる餞別(前の周で取得済みの場合）	01	4	1400	帰還	0x40000578	0xB0000578	1	100	0	50001701	50001701
33010	獣の守護者_死亡時ドロップアイテム	01	4	4112	ショップ解禁　工房ショップB	0x40001010	0xB0001010	1	100	0	50001700	50001700
33011	獣の守護者_死亡時ドロップアイテム（前の周で取得済みの場合）	01	4	1400	帰還	0x40000578	0xB0000578	1	100	0	50001701	50001701
34000	血族狩り_お近づきの印	01	4	1300	エンチャント【炎】	0x40000514	0xB0000514	3	100	0	50001800	50001800
34010	血族狩り_無記名の招待状を渡したときのお礼	01	4	4116	ショップ解禁　教会ショップC	0x40001014	0xB0001014	1	100	0	50001810	50001810
34011	血族狩り_死亡時ドロップアイテム_移動後（前の週で取得済みの場合）	01	4	1400	帰還	0x40000578	0xB0000578	1	100	0	50001805	50001805
34020	血族狩り_ローゲリウスの祀りが終わり、墓前で死んでいるときの死体から拾えるもの	01	8	200000				1	100	0	50001820	50001820
34021	血族狩り_ローゲリウスの祀りが終わり、墓前で死んでいるときの死体から拾えるもの（差し替え用）	01	4	1500	SAN値回復＋1	0x400005DC	0xB00005DC	1	100	0	50001825	50001825
34030	血族狩り_死亡時ドロップアイテム_移動後その1	01	4	1300	エンチャント【炎】	0x40000514	0xB0000514	3	100	0	50001800	50001800
34031	血族狩り_死亡時ドロップアイテム_移動後その2	01	4	4116	ショップ解禁　教会ショップC	0x40001014	0xB0001014	1	100	0	50001810	50001810
34032	血族狩り_死亡時ドロップアイテム_移動後（前の週で取得済みの場合）	01	4	1400	帰還	0x40000578	0xB0000578	1	100	0	50001805	50001805
34035	血族狩り_死亡時ドロップアイテム_初期地点	01	4	1300	エンチャント【炎】	0x40000514	0xB0000514	3	100	0	50001800	50001800
34040	血族狩り_死亡時ドロップアイテム_古城	01	8	200000				1	100	0	50001820	50001820
34041	血族狩り_死亡時ドロップアイテム_古城（前の周で取得済みの場合）	01	4	1500	SAN値回復＋1	0x400005DC	0xB00005DC	1	100	0	50001825	50001825
35000	復讐者_最初にくれる後輩への餞別	01	4	1400	帰還	0x40000578	0xB0000578	4	100	0	-1	
35010	復讐者_死の間際にくれるアイテム	01	8	200020				1	100	0	50001910	50001910
35011	復讐者_死の間際にくれるアイテム（前の週で取得済みの場合）	01	4	1500	SAN値回復＋1	0x400005DC	0xB00005DC	1	100	0	50001915	50001915
35012	復讐者_死の間際にくれるアイテム	01	4	4111	ショップ解禁　工房ショップD	0x4000100F	0xB000100F	1	100	0	50001900	50001900
35013	復讐者_死の間際にくれるアイテム（前の週で取得済みの場合）	01	4	1400	帰還	0x40000578	0xB0000578	1	100	0	50001905	50001905
35020	復讐者_死亡時ドロップアイテム_通常時	01	4	4111	ショップ解禁　工房ショップD	0x4000100F	0xB000100F	1	100	0	50001900	50001900
35021	復讐者_死亡時ドロップアイテム_通常時（前の周で取得済みの場合）	01	4	1400	帰還	0x40000578	0xB0000578	1	100	0	50001905	50001905
35030	復讐者_死亡時ドロップアイテム_闇堕ち時	01	4	4111	ショップ解禁　工房ショップD	0x4000100F	0xB000100F	1	100	0	50001900	50001900
35031	復讐者_死亡時ドロップアイテム_闇堕ち時（前の周で取得済みの場合）	01	4	1400	帰還	0x40000578	0xB0000578	1	100	0	50001905	50001905
37000	門番_ミイラ死体を調べたときに手に入るもの	01	4	1500	SAN値回復＋1	0x400005DC	0xB00005DC	1	100	0	50002000	50002000
39000	パッチ_他のNPCを乗っ取ったときにくれるアイテム	01	4	4310	邪神投げで故郷へワープできるアイテム	0x400010D6	0xB00010D6	1	100	0	-1	
39010	パッチ_友人の証	01	8	100402				1	100	0	50002110	50002110
39011	パッチ_友人の証（差し替え用）	01	4	1500	SAN値回復＋1	0x400005DC	0xB00005DC	1	100	0	50002115	50002115
39020	パッチ_死亡時ドロップアイテム	01	4	1501	SAN値回復＋2	0x400005DD	0xB00005DD	1	100	0	50002100	50002100
42000	少女の姉_落下死した死体から拾えるもの	01	4	4903	メッセンジャー装備（白いリボン）	0x40001327	0xB0001327	1	100	0	50002200	50002200
43000	時計塔の女医_1回脳液を与えて以降もらえる血液	01	4	706	時計塔女医の血	0x400002C2	0xB00002C2	1	100	0	-1	
43010	時計塔の女医_2回脳液を与えたとき	01	4	4019	時計塔の扉の鍵	0x40000FB3	0xB0000FB3	1	100	0	50002250	50002250
43020	時計塔の女医_頭部のみ状態に脳液を与えたとき	01	8	200050				1	100	0	50002260	50002260
43021	時計塔の女医_頭部のみ状態に脳液を与えたとき（周回差し替え）	01	4	1500	SAN値回復＋1	0x400005DC	0xB00005DC	1	100	0	50002261	50002261
43030	時計塔の女医_殺害時ドロップアイテム（通常状態）	01	4	4019	時計塔の扉の鍵	0x40000FB3	0xB0000FB3	1	100	0	50002250	50002250
43040	時計塔の女医_殺害時ドロップアイテム（頭部のみ状態）	01	4	4342	脳液C	0x400010F6	0xB00010F6	1	100	0	50002270	50002270
43100	連盟の長_去ったときに拾えるもの	01	1	260000				1	100	0	50002300	50002300
43110	連盟の長_殺害時ドロップアイテム	01	1	380000				1	100	0	50002310	50002310
43120	連盟の長_連盟加入時にもらえるもの1	01	8	200030				1	100	0	6676	6676
43130	連盟の長_同士として認められたときにもらえるもの	01	4	131	連盟ランキング観覧アイテム	0x40000083	0xB0000083	1	100	0	6678	6678
43200	秘密を探る者_殺害時ドロップアイテム	01	0	32000000				1	100	0	50002350	50002350
43210	秘密を探る者_殺害時ドロップアイテム（月光剣所持）	01	0	32000000				1	100	0	50002350	50002350
43211	秘密を探る者_殺害時ドロップアイテム（月光剣所持） or 会話譲渡	01	0	26000000				1	100	0	50002351	50002351
43220	秘密を探る者_瀕死時会話終了か殺害でドロップするアイテム1	01	0	32000000				1	100	0	50002350	50002350
43221	秘密を探る者_瀕死時会話終了か殺害でドロップ／宝死体取得	01	4	4015	時計塔：地下牢の鍵	0x40000FAF	0xB0000FAF	1	100	0	50002360	50002360
43300	ルドウイーク（頭部のみ）_殺害時ドロップアイテム or 遺品を拾う	01	0	26000000				1	100	0	50002351	50002351
43400	特別な時計塔患者（頭部のみ）A_殺害時ドロップアイテム	01	4	4340	脳液A	0x400010F4	0xB00010F4	1	100	0	50002400	50002400
43500	特別な時計塔患者（頭部のみ）B_殺害時ドロップアイテム	01	4	4341	脳液B	0x400010F5	0xB00010F5	1	100	0	50002450	50002450
43600	漁村の司祭_なめくじカレル装備で会話	01	4	2130	怨霊弾	0x40000852	0xB0000852	1	100	0	50002500	50002500
43700	教会の殺し屋_殺害時ドロップアイテム	01	0	29000000				1	100	0	50002550	50002550
43710	教会の殺し屋_侵入者撃退時ドロップアイテム（時計塔）	01	1	390000				1	100	0	50002560	50002560
43720	教会の殺し屋_侵入者撃退時ドロップアイテム（漁村村2隠し部屋）	01	1	391000				1	100	0	50002570	50002570
43730	教会の殺し屋_侵入者撃退時ドロップアイテム（漁村村2橋）	01	1	392000				1	100	0	50002580	50002580
43740	教会の殺し屋_侵入者撃退時ドロップアイテム（漁村暗渠）	01	1	393000				1	100	0	50002590	50002590
43800	聖堂街D_完全獣化NPC_殺害時ドロップアイテム	01	4	4120	ショップ解禁　古い狩人証	0x40001018	0xB0001018	1	100	0	6671	6671
43802	聖堂街D_完全獣化NPC_殺害時ドロップアイテム_周回差し替え	01	4	1400	帰還	0x40000578	0xB0000578	1	100	0	-1	
43810	聖堂街D_暗闇洞窟NPC_殺害時ドロップアイテム	01	0	33000000				1	100	0	50002610	50002610
43820	時計塔_地下牢NPC_殺害時ドロップアイテム	01	0	30000000				1	100	0	50002620	50002620
43830	時計塔_ヤマムラ殺害時ドロップアイテム	01	1	400000				1	100	0	50002630	50002630
43831	時計塔_ヤマムラ殺害時ドロップアイテム	01	1	401000				1	100	0	50002630	50002630
43832	時計塔_ヤマムラ殺害時ドロップアイテム	01	1	402000				1	100	0	50002630	50002630
43833	時計塔_ヤマムラ殺害時ドロップアイテム	01	1	403000				1	100	0	50002630	50002630
43840	森_連盟処刑人NPC_殺害時ドロップアイテム	01	4	2140	蛇召喚	0x4000085C	0xB000085C	1	100	0	50002640	50002640
43850	時計塔_聖堂NPC_剣大剣	01	4	1500	SAN値回復＋1	0x400005DC	0xB00005DC	1	100	0	50002650	50002650
43860	時計塔_聖堂NPC_コズミックアロー	01	4	900	弾丸【PG直接指定】	0x40000384	0xB0000384	10	100	0	50002660	50002660
43870	時計塔_恋人NPC	01	4	1101	狂気・獣化回復薬	0x4000044D	0xB000044D	5	100	0	50002670	50002670
47000	敵NPC_故郷１ 斧竿	01	4	2030	ヌルヌル化	0x400007EE	0xB00007EE	1	100	0	50002700	50002700
48000	敵NPC_故郷２ 杖鞭	01	4	2030	ヌルヌル化	0x400007EE	0xB00007EE	1	100	0	50002800	50002800
49000	敵NPC_トラップロード	01	4	1101	狂気・獣化回復薬	0x4000044D	0xB000044D	3	100	0	50002900	50002900
50000	敵NPC_廃墟のハンターのドロップアイテム	01	4	1330	銃威力アップ	0x40000532	0xB0000532	6	100	0	50003000	50003000
51000	敵NPC_生贄の3人衆Aのドロップアイテム（裸）	01	8	100501				1	100	0	50003100	50003100
51001	敵NPC_生贄の3人衆Aのドロップアイテム（裸）(差し替え用）	01	4	1500	SAN値回復＋1	0x400005DC	0xB00005DC	1	100	0	50003105	50003105
52000	敵NPC_生贄の3人衆Bのドロップアイテム（大筒）	01	4	900	弾丸【PG直接指定】	0x40000384	0xB0000384	20	100	0	50003200	50003200
53000	敵NPC_生贄の3人衆Cのドロップアイテム（火炎放射器）	01	4	1500	SAN値回復＋1	0x400005DC	0xB00005DC	1	100	0	50003300	50003300
55000	復讐者イベント用NPC1（ヘンリック）のドロップアイテム	01	8	100801				1	100	0	50003400	50003400
55001	復讐者イベント用NPC1（ヘンリック）のドロップアイテム（差し替え用）	01	4	1500	SAN値回復＋1	0x400005DC	0xB00005DC	1	100	0	50003405	50003405
56000	復讐者イベント用NPC2（強者）のドロップアイテム	01	8	100603				1	100	0	50003500	50003500
56001	復讐者イベント用NPC2（強者）のドロップアイテム	01	4	1501	SAN値回復＋2	0x400005DD	0xB00005DD	1	100	0	50003505	50003505
57000	敵NPC_生贄接続NPC近接のドロップアイテム	01	4	1320	エンチャント【雷】	0x40000528	0xB0000528	4	100	0	50003600	50003600
58000	敵NPC_生贄接続NPC射撃のドロップアイテム	01	4	900	弾丸【PG直接指定】	0x40000384	0xB0000384	10	100	0	50003700	50003700
59000	敵NPC_大学の聖歌隊のドロップアイテム	01	4	1120	石ころ帽子	0x40000460	0xB0000460	3	100	0	50003900	50003900
64000	ダンジョンNPC5　通常時	02	8	50000				1	200	0	-1	
64010	ダンジョンNPC5　マルチ召喚代理時	02	8	50000				1	200	0	-1	
64100	ダンジョンNPC5_2　通常時	02	8	50000				1	200	0	-1	
64110	ダンジョンNPC5_2　マルチ召喚代理時	02	8	50000				1	200	0	-1	
66000	ダンジョンNPC7　通常時	02	8	50000				1	200	0	-1	
66010	ダンジョンNPC7　マルチ召喚代理時	02	8	50000				1	200	0	-1	
71000	ダンジョンNPC11_1　通常時	02	8	50005				1	200	0	-1	
71010	ダンジョンNPC11_1　マルチ召喚代理時	02	8	50005				1	200	0	-1	
75000	ダンジョンNPC14　通常時	02	8	50006				1	200	0	-1	
75010	ダンジョンNPC14　マルチ召喚代理時	02	8	50006				1	200	0	-1	
76000	ダンジョンNPC15　通常時	02	8	50007				1	200	0	-1	
76010	ダンジョンNPC15　マルチ召喚代理時	02	8	50007				1	200	0	-1	
77000	固定ダンジョン　ボスNPC1	02	8	50010				1	1000	0	50004000	50004000
77010	固定ダンジョン　ボスNPC2	02	8	50010				1	1000	0	50004100	50004100
100000	BJ「右回りの変態」の原石	01	8	210000				1	100	0	-1	
100010	BJ「左回りの変態」の原石	01	8	210001				1	100	0	-1	
100020	BJ「拝領」の原石	01	8	210002				1	100	0	-1	
100030	BJ「オドンの交わり」の原石	01	8	210003				1	100	0	-1	
100040	BJ「湖」の原石	01	8	210004				1	100	0	-1	
100050	BJ「深海」の原石	01	8	210005				1	100	0	-1	
100060	BJ「破壊者」の原石	01	8	210006				1	100	0	-1	
100070	BJ「歓楽者」の原石	01	8	210007				1	100	0	-1	
100080	BJ「交わる者」の原石	01	8	210008				1	100	0	-1	
100090	BJ「継承者」の原石	01	8	210009				1	100	0	-1	
100100	BJ「獣」の原石	01	8	210010				1	100	0	-1	
100110	BJ「月」の原石	01	8	210011				1	100	0	-1	
100120	BJ「瞳」の原石	01	8	210012				1	100	0	-1	
100500	魔石原石【真っ赤なブローチ】	01	8	150000				1	100	0	-1	
100510	魔石原石【人形の涙】	01	8	150001				1	100	0	-1	
100520	魔石原石【金のペンダント】	01	8	150002				1	100	0	-1	
101000	放射型魔石の原石　レベル1	01	8	110001				1	100	0	-1	
101010	放射型魔石の原石　レベル2	01	8	110002				1	100	0	-1	
101020	放射型魔石の原石　レベル3	01	8	110003				1	100	0	-1	
101030	放射型魔石の原石　レベル4	01	8	110004				1	100	0	-1	
101040	放射型魔石の原石　レベル5	01	8	110005				1	100	0	-1	
101050	放射型魔石の原石　レベル6	01	8	110006				1	100	0	-1	
101060	放射型魔石の原石　レベル7	01	8	110007				1	100	0	-1	
101070	三角型魔石の原石　レベル1	01	8	110011				1	100	0	-1	
101080	三角型魔石の原石　レベル2	01	8	110012				1	100	0	-1	
101090	三角型魔石の原石　レベル3	01	8	110013				1	100	0	-1	
101100	三角型魔石の原石　レベル4	01	8	110014				1	100	0	-1	
101110	三角型魔石の原石　レベル5	01	8	110015				1	100	0	-1	
101120	三角型魔石の原石　レベル6	01	8	110016				1	100	0	-1	
101130	三角型魔石の原石　レベル7	01	8	110017				1	100	0	-1	
101140	欠損型魔石の原石　レベル1	01	8	110021				1	100	0	-1	
101150	欠損型魔石の原石　レベル2	01	8	110022				1	100	0	-1	
101160	欠損型魔石の原石　レベル3	01	8	110023				1	100	0	-1	
101170	欠損型魔石の原石　レベル4	01	8	110024				1	100	0	-1	
101180	欠損型魔石の原石　レベル5	01	8	110025				1	100	0	-1	
101190	欠損型魔石の原石　レベル6	01	8	110026				1	100	0	-1	
101200	欠損型魔石の原石　レベル7	01	8	110027				1	100	0	-1	
101210	円型魔石の原石　レベル1	01	8	110031				1	100	0	-1	
101220	円型魔石の原石　レベル2	01	8	110032				1	100	0	-1	
101230	円型魔石の原石　レベル3	01	8	110033				1	100	0	-1	
101240	円型魔石の原石　レベル4	01	8	110034				1	100	0	-1	
101250	円型魔石の原石　レベル5	01	8	110035				1	100	0	-1	
101260	円型魔石の原石　レベル6	01	8	110036				1	100	0	-1	
101270	円型魔石の原石　レベル7	01	8	110037				1	100	0	-1	
101280	雫型魔石の原石　レベル1	01	8	110041				1	100	0	-1	
101290	雫型魔石の原石　レベル2	01	8	110042				1	100	0	-1	
101300	雫型魔石の原石　レベル3	01	8	110043				1	100	0	-1	
101310	雫型魔石の原石　レベル4	01	8	110044				1	100	0	-1	
101320	雫型魔石の原石　レベル5	01	8	110045				1	100	0	-1	
101330	雫型魔石の原石　レベル6	01	8	110046				1	100	0	-1	
101340	雫型魔石の原石　レベル7	01	8	110047				1	100	0	-1	
2000000	チャネルプロト宝箱00	01	4	2500				1	100	0	52000000	52000000
2000010	チャネルプロト宝箱01	01	4	2003				1	100	0	52000010	52000010
2000020	チャネルプロト宝箱02	01	4	2003				1	100	0	52000020	52000020
2000030	チャネルプロト宝箱03	01	4	280				2	100	0	52000030	52000030
2000040	チャネルプロト宝箱04	01	4	297				2	100	0	52000040	52000040
2000050	チャネルプロト宝箱05	01	0	801002				1	100	0	52000050	52000050
2000060	チャネルプロト宝箱06	01	4	1500	SAN値回復＋1	0x400005DC	0xB00005DC	3	100	0	52000060	52000060
2000070	チャネルプロト宝箱07	01	4	297				2	100	0	52000070	52000070
2000080	チャネルプロト宝箱08	01	0	1500				1	100	0	52000080	52000080
