location_flag	item_lot_id	slot	category	category_name	item_param_id	english_name	quantity	normalized_runtime_id	classification	classification_reason
52300090	2300090	01	4	goods	1000	Blood Vial	1	0x400003E8	filler	consumable_or_material
52300100	2300100	01	4	goods	1000	Blood Vial	1	0x400003E8	filler	consumable_or_material
52300110	2300110	01	4	goods	1000	Blood Vial	1	0x400003E8	filler	consumable_or_material
52300120	2300120	01	4	goods	1110	Beast Blood Pellet	6	0x40000456	filler	consumable_or_material
52300130	2300130	01	4	goods	1512	Coldblood Dew (3)	1	0x400005E8	filler	consumable_or_material
52300140	2300140	01	4	goods	3000	Blood Stone Shard	2	0x40000BB8	filler	consumable_or_material
52300150	2300150	01	4	goods	3000	Blood Stone Shard	2	0x40000BB8	filler	consumable_or_material
52300160	2300160	01	4	goods	1500	Madman's Knowledge	1	0x400005DC	filler	consumable_or_material
52300170	2300170	01	4	goods	7000	Ritual Blood (1)	2	0x40001B58	filler	consumable_or_material
52300180	2300180	01	4	goods	1260	Pungent Blood Cocktail	3	0x400004EC	filler	consumable_or_material
52300190	2300190	01	4	goods	1300	Fire Paper	2	0x40000514	filler	consumable_or_material
52300200	2300200	01	0	weapon	20000000	Hunter's Torch	1		useful	weapon
52300210	2300210	01	4	goods	1100	Antidote	1	0x4000044C	filler	consumable_or_material
52300220	2300220	01	4	goods	1200	Molotov Cocktail	4	0x400004B0	filler	consumable_or_material
52300230	2300230	01	4	goods	3000	Blood Stone Shard	2	0x40000BB8	filler	consumable_or_material
52300240	2300240	01	4	goods	1000	Blood Vial	6	0x400003E8	filler	consumable_or_material
52300250	2300250	01	4	goods	1230	Pebble	3	0x400004CE	filler	consumable_or_material
52300260	2300260	01	4	goods	1200	Molotov Cocktail	3	0x400004B0	filler	consumable_or_material
52300270	2300270	01	4	goods	6000		1		filler	consumable_or_material
52300280	2300280	01	4	goods	1100	Antidote	4	0x4000044C	filler	consumable_or_material
52300290	2300290	01	4	goods	1511	Coldblood Dew (2)	1	0x400005E7	filler	consumable_or_material
52300300	2300300	01	8	gem	123001		1		optional	generated_blood_gem
52300310	2300310	01	4	goods	1100	Antidote	3	0x4000044C	filler	consumable_or_material
52300320	2300320	01	4	goods	1100	Antidote	3	0x4000044C	filler	consumable_or_material
52300330	2300330	01	4	goods	900	Quicksilver Bullets	10	0x40000384	filler	consumable_or_material
52300340	2300340	01	4	goods	1512	Coldblood Dew (3)	1	0x400005E8	filler	consumable_or_material
52300350	2300350	01	4	goods	3000	Blood Stone Shard	1	0x40000BB8	filler	consumable_or_material
52300360	2300360	01	4	goods	1500	Madman's Knowledge	1	0x400005DC	filler	consumable_or_material
52300370	2300370	01	4	goods	1511	Coldblood Dew (2)	1	0x400005E7	filler	consumable_or_material
52300380	2300380	01	4	goods	1000	Blood Vial	6	0x400003E8	filler	consumable_or_material
52300390	2300390	01	0	weapon	10000000	Rifle Spear	1		useful	weapon
52300400	2300400	01	1	armor	11000	Charred Hunter Garb	1		useful	armor
52300410	2300410	01	4	goods	1200	Molotov Cocktail	5	0x400004B0	filler	consumable_or_material
52300420	2300420	01	4	goods	1100	Antidote	2	0x4000044C	filler	consumable_or_material
52300430	2300430	01	4	goods	1100	Antidote	3	0x4000044C	filler	consumable_or_material
52300440	2300440	01	4	goods	1260	Pungent Blood Cocktail	2	0x400004EC	filler	consumable_or_material
52300450	2300450	01	4	goods	1100	Antidote	1	0x4000044C	filler	consumable_or_material
52300460	2300460	01	4	goods	1400	Bold Hunter's Mark	2	0x40000578	filler	consumable_or_material
52300470	2300470	01	4	goods	1511	Coldblood Dew (2)	1	0x400005E7	filler	consumable_or_material
52300480	2300480	01	4	goods	1000	Blood Vial	6	0x400003E8	filler	consumable_or_material
52300490	2300490	01	4	goods	1100	Antidote	3	0x4000044C	filler	consumable_or_material
52300500	2300500	01	4	goods	1511	Coldblood Dew (2)	1	0x400005E7	filler	consumable_or_material
52300510	2300510	01	4	goods	3000	Blood Stone Shard	2	0x40000BB8	filler	consumable_or_material
52300520	2300520	01	4	goods	1512	Coldblood Dew (3)	1	0x400005E8	filler	consumable_or_material
52300530	2300530	01	4	goods	1100	Antidote	3	0x4000044C	filler	consumable_or_material
52400100	2400100	01	4	goods	1260	Pungent Blood Cocktail	2	0x400004EC	filler	consumable_or_material
52400120	2400120	01	1	armor	280000	Top Hat	1		useful	armor
52400130	2400130	01	4	goods	3000	Blood Stone Shard	2	0x40000BB8	filler	consumable_or_material
52400140	2400140	01	4	goods	1500	Madman's Knowledge	1	0x400005DC	filler	consumable_or_material
52400150	2400150	01	4	goods	1514	Thick Coldblood (5)	1	0x400005EA	filler	consumable_or_material
52400160	2400160	01	4	goods	900	Quicksilver Bullets	2	0x40000384	filler	consumable_or_material
52400170	2400170	01	4	goods	1500	Madman's Knowledge	1	0x400005DC	filler	consumable_or_material
52400180	2400180	01	4	goods	7150	Bloodshot Eyeball	1	0x40001BEE	filler	consumable_or_material
52400190	2400190	01	4	goods	1000	Blood Vial	1	0x400003E8	filler	consumable_or_material
52400200	2400200	01	4	goods	1500	Madman's Knowledge	1	0x400005DC	filler	consumable_or_material
52400210	2400210	01	4	goods	1210	Poison Knife	12	0x400004BA	filler	consumable_or_material
52400220	2400220	01	4	goods	1500	Madman's Knowledge	1	0x400005DC	filler	consumable_or_material
52400230	2400230	01	4	goods	1000	Blood Vial	6	0x400003E8	filler	consumable_or_material
52400240	2400240	01	4	goods	1411	Monocular	1	0x40000583	filler	consumable_or_material
52400250	2400250	01	4	goods	1230	Pebble	1	0x400004CE	filler	consumable_or_material
52400260	2400260	01	4	goods	1000	Blood Vial	2	0x400003E8	filler	consumable_or_material
52400270	2400270	01	4	goods	4906	Black Messenger Hat	1	0x4000132A	key_or_badge	goods_type_1_requires_logic_review
52400280	2400280	01	4	goods	1270	Numbing Mist	6	0x400004F6	filler	consumable_or_material
52400290	2400290	01	1	armor	110000	Black Church Hat	1		useful	armor
52400300	2400300	01	8	gem	124002		1		optional	generated_blood_gem
52400310	2400310	01	4	goods	1410	Shining Coins	12	0x40000582	filler	consumable_or_material
52400320	2400320	01	4	goods	1000	Blood Vial	6	0x400003E8	filler	consumable_or_material
52400330	2400330	01	4	goods	3000	Blood Stone Shard	3	0x40000BB8	filler	consumable_or_material
52400340	2400340	01	4	goods	900	Quicksilver Bullets	10	0x40000384	filler	consumable_or_material
52400350	2400350	01	4	goods	1513	Thick Coldblood (4)	1	0x400005E9	filler	consumable_or_material
52400360	2400360	01	4	goods	1500	Madman's Knowledge	1	0x400005DC	filler	consumable_or_material
52400370	2400370	01	4	goods	1515	Thick Coldblood (6)	1	0x400005EB	filler	consumable_or_material
52400380	2400380	01	4	goods	1240	Throwing Knife	3	0x400004D8	filler	consumable_or_material
52400390	2400390	01	4	goods	1200	Molotov Cocktail	4	0x400004B0	filler	consumable_or_material
52400400	2400400	01	4	goods	1511	Coldblood Dew (2)	1	0x400005E7	filler	consumable_or_material
52400410	2400410	01	4	goods	1500	Madman's Knowledge	1	0x400005DC	filler	consumable_or_material
52400420	2400420	01	4	goods	1515	Thick Coldblood (6)	1	0x400005EB	filler	consumable_or_material
52400430	2400430	01	8	gem	124003		1		optional	generated_blood_gem
52400440	2400440	01	4	goods	1515	Thick Coldblood (6)	1	0x400005EB	filler	consumable_or_material
52400450	2400450	01	4	goods	4011	Hunter Chief Emblem	1	0x40000FAB	key_or_badge	hunter_chief_emblem_validation
52400460	2400460	01	4	goods	1514	Thick Coldblood (5)	1	0x400005EA	filler	consumable_or_material
52400470	2400470	01	4	goods	1513	Thick Coldblood (4)	1	0x400005E9	filler	consumable_or_material
52400480	2400480	01	4	goods	4115	Radiant Sword Hunter Badge	1	0x40001013	key_or_badge	goods_type_1_requires_logic_review
52400485	2400485	01	4	goods	1400	Bold Hunter's Mark	1	0x40000578	filler	consumable_or_material
52410100	2410100	01	0	weapon	7100000	Saw Spear	1		useful	weapon
52410110	2410110	01	4	goods	3000	Blood Stone Shard	2	0x40000BB8	filler	consumable_or_material
52410120	2410120	01	4	goods	1000	Blood Vial	2	0x400003E8	filler	consumable_or_material
52410130	2410130	01	4	goods	1510	Coldblood Dew (1)	1	0x400005E6	filler	consumable_or_material
52410140	2410140	01	4	goods	1500	Madman's Knowledge	1	0x400005DC	filler	consumable_or_material
52410150	2410150	01	4	goods	1510	Coldblood Dew (1)	1	0x400005E6	filler	consumable_or_material
52410160	2410160	01	4	goods	1230	Pebble	8	0x400004CE	filler	consumable_or_material
52410170	2410170	01	4	goods	3000	Blood Stone Shard	1	0x40000BB8	filler	consumable_or_material
52410180	2410180	01	4	goods	3000	Blood Stone Shard	1	0x40000BB8	filler	consumable_or_material
52410190	2410190	01	4	goods	1000	Blood Vial	2	0x400003E8	filler	consumable_or_material
52410200	2410200	01	4	goods	1200	Molotov Cocktail	4	0x400004B0	filler	consumable_or_material
52410210	2410210	01	4	goods	3000	Blood Stone Shard	1	0x40000BB8	filler	consumable_or_material
52410220	2410220	01	4	goods	1260	Pungent Blood Cocktail	2	0x400004EC	filler	consumable_or_material
52410240	2410240	01	4	goods	1512	Coldblood Dew (3)	1	0x400005E8	filler	consumable_or_material
52410250	2410250	01	4	goods	1500	Madman's Knowledge	1	0x400005DC	filler	consumable_or_material
52410260	2410260	01	4	goods	1510	Coldblood Dew (1)	1	0x400005E6	filler	consumable_or_material
52410270	2410270	01	4	goods	900	Quicksilver Bullets	10	0x40000384	filler	consumable_or_material
52410280	2410280	01	4	goods	1511	Coldblood Dew (2)	1	0x400005E7	filler	consumable_or_material
52410290	2410290	01	4	goods	4110	Saw Hunter Badge	1	0x4000100E	key_or_badge	goods_type_1_requires_logic_review
52410295	2410295	01	4	goods	1400	Bold Hunter's Mark	1	0x40000578	filler	consumable_or_material
52410310	2410310	01	4	goods	1230	Pebble	10	0x400004CE	filler	consumable_or_material
52410330	2410330	01	4	goods	3000	Blood Stone Shard	1	0x40000BB8	filler	consumable_or_material
52410340	2410340	01	4	goods	1000	Blood Vial	4	0x400003E8	filler	consumable_or_material
52410360	2410360	01	4	goods	1000	Blood Vial	2	0x400003E8	filler	consumable_or_material
52410370	2410370	01	4	goods	1220	Oil Urn	2	0x400004C4	filler	consumable_or_material
52410380	2410380	01	4	goods	1000	Blood Vial	2	0x400003E8	filler	consumable_or_material
52410390	2410390	01	4	goods	1000	Blood Vial	6	0x400003E8	filler	consumable_or_material
52410400	2410400	01	4	goods	3000	Blood Stone Shard	1	0x40000BB8	filler	consumable_or_material
52410430	2410430	01	4	goods	900	Quicksilver Bullets	10	0x40000384	filler	consumable_or_material
52410440	2410440	01	4	goods	1510	Coldblood Dew (1)	1	0x400005E6	filler	consumable_or_material
52410450	2410450	01	4	goods	1510	Coldblood Dew (1)	1	0x400005E6	filler	consumable_or_material
52410470	2410470	01	4	goods	1220	Oil Urn	2	0x400004C4	filler	consumable_or_material
52410480	2410480	01	4	goods	1500	Madman's Knowledge	1	0x400005DC	filler	consumable_or_material
52410490	2410490	01	4	goods	3000	Blood Stone Shard	1	0x40000BB8	filler	consumable_or_material
52410510	2410510	01	4	goods	1400	Bold Hunter's Mark	2	0x40000578	filler	consumable_or_material
52410520	2410520	01	0	weapon	20100000	Torch	1		useful	weapon
52410530	2410530	01	4	goods	1510	Coldblood Dew (1)	1	0x400005E6	filler	consumable_or_material
52410540	2410540	01	4	goods	3000	Blood Stone Shard	1	0x40000BB8	filler	consumable_or_material
52410560	2410560	01	4	goods	900	Quicksilver Bullets	5	0x40000384	filler	consumable_or_material
52410570	2410570	01	4	goods	1200	Molotov Cocktail	4	0x400004B0	filler	consumable_or_material
52410580	2400760	01	8	gem	124001		1		optional	generated_blood_gem
52410590	2410590	01	4	goods	1200	Molotov Cocktail	6	0x400004B0	filler	consumable_or_material
52410600	2410600	01	4	goods	1510	Coldblood Dew (1)	1	0x400005E6	filler	consumable_or_material
52410610	2410610	01	1	armor	70000	Hunter Hat	1		useful	armor
52410620	2410620	01	4	goods	1514	Thick Coldblood (5)	1	0x400005EA	filler	consumable_or_material
52410630	2410630	01	4	goods	1510	Coldblood Dew (1)	1	0x400005E6	filler	consumable_or_material
52410640	2410640	01	8	caryll_rune	102903	Communion (+3 Blood Vials)	1		optional	fixed_caryll_rune_vanilla_only
52410645	2410645	01	4	goods	1500	Madman's Knowledge	1	0x400005DC	filler	consumable_or_material
52410650	2410650	01	4	goods	3000	Blood Stone Shard	1	0x40000BB8	filler	consumable_or_material
52410800	2410800	01	4	goods	900	Quicksilver Bullets	10	0x40000384	filler	consumable_or_material
52410920	2410920	01	4	goods	4306	Red Jeweled Brooch	1	0x400010D2	filler	consumable_or_material
52411000	2411000	01	4	goods	4103	Blood Gem Workshop Tool	1	0x40001007	key_or_badge	goods_type_1_requires_logic_review
52411005	2411005	01	4	goods	1591	Kin Coldblood (12)	1	0x40000637	filler	consumable_or_material
52420110	2420110	01	4	goods	1514	Thick Coldblood (5)	1	0x400005EA	filler	consumable_or_material
52420120	2420120	01	8	caryll_rune	101802	Great Lake (+4%)	1		optional	fixed_caryll_rune_vanilla_only
52420125	2420125	01	4	goods	1500	Madman's Knowledge	1	0x400005DC	filler	consumable_or_material
52420130	2420130	01	4	goods	1518	Frenzied Coldblood (9)	1	0x400005EE	filler	consumable_or_material
52420140	2420140	01	4	goods	900	Quicksilver Bullets	3	0x40000384	filler	consumable_or_material
52420150	2420150	01	1	armor	121000	Choir Garb	1		useful	armor
52420160	2420160	01	4	goods	3010	Twin Blood Stone Shards	1	0x40000BC2	filler	consumable_or_material
52420170	2420170	01	4	goods	1500	Madman's Knowledge	1	0x400005DC	filler	consumable_or_material
52420180	2420180	01	4	goods	1120	Blue Elixir	1	0x40000460	filler	consumable_or_material
52420190	2420190	01	1	armor	120000	Blindfold Cap	1		useful	armor
52420200	2420200	01	4	goods	1500	Madman's Knowledge	1	0x400005DC	filler	consumable_or_material
52420210	2420210	01	4	goods	1500	Madman's Knowledge	1	0x400005DC	filler	consumable_or_material
52420220	2420220	01	4	goods	7100	Pearl Slug	2	0x40001BBC	filler	consumable_or_material
52420230	2420230	01	1	armor	130000	Gascoigne's Cap	1		useful	armor
52420240	2420240	01	4	goods	7004	Ritual Blood (5)	3	0x40001B5C	filler	consumable_or_material
52420250	2420250	01	0	weapon	6100000	Ludwig's Rifle	1		useful	weapon
52420260	2420260	01	4	goods	7023	Tomb Mold (4)	1	0x40001B6F	filler	consumable_or_material
52420270	2420270	01	4	goods	4119	Cosmic Eye Watcher Badge	1	0x40001017	key_or_badge	goods_type_1_requires_logic_review
52420285	2420275	01	4	goods	1400	Bold Hunter's Mark	1	0x40000578	filler	consumable_or_material
52420300	2420300	01	4	goods	1518	Frenzied Coldblood (9)	1	0x400005EE	filler	consumable_or_material
52420310	2420310	01	4	goods	1120	Blue Elixir	1	0x40000460	filler	consumable_or_material
52420320	2420320	01	4	goods	2010	A Call Beyond	1	0x400007DA	useful	unique_goods_or_hunter_tool
52420540	2400540	01	1	armor	320000	Rumpled Yharnam Hat	1		useful	armor
52420550	2400550	01	0	weapon	19000000	Wooden Shield	1		useful	weapon
52420560	2400560	01	4	goods	3000	Blood Stone Shard	5	0x40000BB8	filler	consumable_or_material
52420570	2400570	01	4	goods	1514	Thick Coldblood (5)	1	0x400005EA	filler	consumable_or_material
52420580	2400580	01	4	goods	1514	Thick Coldblood (5)	1	0x400005EA	filler	consumable_or_material
52420590	2400590	01	4	goods	1500	Madman's Knowledge	1	0x400005DC	filler	consumable_or_material
52420600	2400600	01	4	goods	3010	Twin Blood Stone Shards	2	0x40000BC2	filler	consumable_or_material
52420610	2400610	01	4	goods	1100	Antidote	1	0x4000044C	filler	consumable_or_material
52420620	2400620	01	4	goods	1500	Madman's Knowledge	1	0x400005DC	filler	consumable_or_material
52420630	2400630	01	4	goods	1210	Poison Knife	18	0x400004BA	filler	consumable_or_material
52420640	2400640	01	8	caryll_rune	102901	Communion (+1 Blood Vial)	1		optional	fixed_caryll_rune_vanilla_only
52420645	2400645	01	4	goods	1500	Madman's Knowledge	1	0x400005DC	filler	consumable_or_material
52420650	2400650	01	8	gem	124004		1		optional	generated_blood_gem
52420660	2400660	01	4	goods	1500	Madman's Knowledge	1	0x400005DC	filler	consumable_or_material
52420670	2400670	01	4	goods	4905	Messenger Top Hat	1	0x40001329	key_or_badge	goods_type_1_requires_logic_review
52420690	2400690	01	8	caryll_rune	103104	Formless Oedon (+4 Quicksilver Bullets)	1		optional	fixed_caryll_rune_vanilla_only
52420695	2400695	01	4	goods	1500	Madman's Knowledge	1	0x400005DC	filler	consumable_or_material
52420700	2400700	01	4	goods	1516	Frenzied Coldblood (7)	1	0x400005EC	filler	consumable_or_material
52420710	2400710	01	4	goods	3010	Twin Blood Stone Shards	1	0x40000BC2	filler	consumable_or_material
52420720	2400720	01	4	goods	1500	Madman's Knowledge	1	0x400005DC	filler	consumable_or_material
52420730	2400730	01	4	goods	4908	Messenger Urn Festival	1	0x4000132C	key_or_badge	goods_type_1_requires_logic_review
52420740	2400740	01	8	gem	124000		1		optional	generated_blood_gem
52420750	2400750	01	4	goods	1400	Bold Hunter's Mark	3	0x40000578	filler	consumable_or_material
52500100	2500100	01	4	goods	1518	Frenzied Coldblood (9)	1	0x400005EE	filler	consumable_or_material
52500110	2500110	01	4	goods	1270	Numbing Mist	2	0x400004F6	filler	consumable_or_material
52500120	2500120	01	4	goods	1270	Numbing Mist	4	0x400004F6	filler	consumable_or_material
52500130	2500130	01	4	goods	1270	Numbing Mist	4	0x400004F6	filler	consumable_or_material
52500140	2500140	01	4	goods	1517	Frenzied Coldblood (8)	1	0x400005ED	filler	consumable_or_material
52500150	2500150	01	4	goods	1518	Frenzied Coldblood (9)	1	0x400005EE	filler	consumable_or_material
52500160	2500160	01	1	armor	311000	Noble Dress	1		useful	armor
52500170	2500170	01	4	goods	130	Vileblood Register	1	0x40000082	useful	unique_goods_or_hunter_tool
52500180	2500180	01	4	goods	900	Quicksilver Bullets	6	0x40000384	filler	consumable_or_material
52500190	2500190	01	4	goods	1519	Kin Coldblood (10)	1	0x400005EF	filler	consumable_or_material
52500200	2500200	01	4	goods	900	Quicksilver Bullets	6	0x40000384	filler	consumable_or_material
52500210	2500210	01	4	goods	1500	Madman's Knowledge	1	0x400005DC	filler	consumable_or_material
52500220	2500220	01	4	goods	1500	Madman's Knowledge	1	0x400005DC	filler	consumable_or_material
52500230	2500230	01	4	goods	3020	Blood Stone Chunk	1	0x40000BCC	filler	consumable_or_material
52500240	2500240	01	4	goods	900	Quicksilver Bullets	4	0x40000384	filler	consumable_or_material
52500250	2500250	01	4	goods	2080	Executioner's Gloves	1	0x40000820	useful	unique_goods_or_hunter_tool
52500260	2500260	01	4	goods	1519	Kin Coldblood (10)	1	0x400005EF	filler	consumable_or_material
52500270	2500270	01	4	goods	1400	Bold Hunter's Mark	2	0x40000578	filler	consumable_or_material
52501000	2501000	01	0	weapon	10100000	Reiterpallasch	1		useful	weapon
52501010	2501010	01	4	goods	3020	Blood Stone Chunk	1	0x40000BCC	filler	consumable_or_material
52501020	2501020	01	1	armor	151000	Executioner Garb	1		useful	armor
52501030	2501030	01	4	goods	3020	Blood Stone Chunk	1	0x40000BCC	filler	consumable_or_material
52501040	2501040	01	8	gem	125000		1		optional	generated_blood_gem
52501050	2501050	01	1	armor	80000	Knight's Wig	1		useful	armor
52501060	2501060	01	8	gem	125001		1		optional	generated_blood_gem
52501070	2501070	01	1	armor	81000	Knight's Garb	1		useful	armor
52501080	2501080	01	0	weapon	14100000	Evelyn	1		useful	weapon
52600100	2600100	01	4	goods	2090	Shaman Bone Blade	6	0x4000082A	filler	consumable_or_material
52600110	2600110	01	4	goods	1500	Madman's Knowledge	1	0x400005DC	filler	consumable_or_material
52600120	2600120	01	4	goods	1501	Great One's Wisdom	1	0x400005DD	filler	consumable_or_material
52600130	2600130	01	4	goods	1501	Great One's Wisdom	1	0x400005DD	filler	consumable_or_material
52600140	2600140	01	4	goods	1501	Great One's Wisdom	1	0x400005DD	filler	consumable_or_material
52600150	2600150	01	8	gem	126002		1		optional	generated_blood_gem
52600160	2600160	01	4	goods	1501	Great One's Wisdom	1	0x400005DD	filler	consumable_or_material
52600170	2600170	01	4	goods	1518	Frenzied Coldblood (9)	1	0x400005EE	filler	consumable_or_material
52600180	2600180	01	4	goods	1518	Frenzied Coldblood (9)	1	0x400005EE	filler	consumable_or_material
52600190	2600190	01	4	goods	1000	Blood Vial	8	0x400003E8	filler	consumable_or_material
52600200	2600200	01	8	gem	126003		1		optional	generated_blood_gem
52600210	2600210	01	4	goods	3020	Blood Stone Chunk	1	0x40000BCC	filler	consumable_or_material
52600220	2600220	01	8	gem	126000		1		optional	generated_blood_gem
52600230	2600230	01	4	goods	900	Quicksilver Bullets	6	0x40000384	filler	consumable_or_material
52600240	2600240	01	4	goods	1500	Madman's Knowledge	1	0x400005DC	filler	consumable_or_material
52600250	2600250	01	4	goods	2030	Lead Elixir	2	0x400007EE	filler	consumable_or_material
52600260	2600260	01	4	goods	1517	Frenzied Coldblood (8)	1	0x400005ED	filler	consumable_or_material
52600270	2600270	01	4	goods	900	Quicksilver Bullets	6	0x40000384	filler	consumable_or_material
52600280	2600280	01	4	goods	3020	Blood Stone Chunk	1	0x40000BCC	filler	consumable_or_material
52600290	2600290	01	4	goods	1518	Frenzied Coldblood (9)	1	0x400005EE	filler	consumable_or_material
52600300	2600300	01	8	caryll_rune	100201	Eye (+50 Discovery)	1		optional	fixed_caryll_rune_vanilla_only
52600305	2600305	01	4	goods	1500	Madman's Knowledge	1	0x400005DC	filler	consumable_or_material
52600310	2600310	01	4	goods	3020	Blood Stone Chunk	1	0x40000BCC	filler	consumable_or_material
52600320	2600320	01	4	goods	1519	Kin Coldblood (10)	1	0x400005EF	filler	consumable_or_material
52600330	2600330	01	4	goods	1518	Frenzied Coldblood (9)	1	0x400005EE	filler	consumable_or_material
52600340	2600340	01	4	goods	1120	Blue Elixir	2	0x40000460	filler	consumable_or_material
52600350	2600350	01	4	goods	3010	Twin Blood Stone Shards	3	0x40000BC2	filler	consumable_or_material
52600360	2600360	01	4	goods	1519	Kin Coldblood (10)	1	0x400005EF	filler	consumable_or_material
52600370	2600370	01	4	goods	1000	Blood Vial	4	0x400003E8	filler	consumable_or_material
52600380	2600380	01	4	goods	1101	Sedative	3	0x4000044D	filler	consumable_or_material
52600390	2600390	01	8	caryll_rune	100002	Moon (+20% Blood Echoes)	1		optional	fixed_caryll_rune_vanilla_only
52600395	2600395	01	4	goods	1500	Madman's Knowledge	1	0x400005DC	filler	consumable_or_material
52600400	2600400	01	4	goods	1000	Blood Vial	3	0x400003E8	filler	consumable_or_material
52600410	2600410	01	4	goods	1519	Kin Coldblood (10)	1	0x400005EF	filler	consumable_or_material
52600420	2600420	01	4	goods	3020	Blood Stone Chunk	2	0x40000BCC	filler	consumable_or_material
52600430	2600430	01	4	goods	1517	Frenzied Coldblood (8)	1	0x400005ED	filler	consumable_or_material
52600440	2600440	01	4	goods	1500	Madman's Knowledge	1	0x400005DC	filler	consumable_or_material
