location_flag	canonical_map	map_variants	item_lot_ids	display_items	classification	mvp_candidate	placement_count	event_names	coordinates
52200330	m22_00_00_00	m22_00_00_00	2200330	Bone Marrow Ash x9	filler	False	1	Item_宝死体23	-44.100006,-3.363999,420.35
52200340	m22_00_00_00	m22_00_00_00	2200340	Thick Coldblood (4) x1	filler	False	1	Item_宝死体24	-44.932007,-3.36,424.226
52200350	m22_00_00_00	m22_00_00_00	2200350	Blood Vial x2	filler	False	1	Item_宝死体25	-267.753,-1.891,651.567
52200360	m22_00_00_00	m22_00_00_00	2200360	Rune Workshop Tool x1	key_or_badge	True	1	Item_宝死体26	-336.307,-4.778,780.652
52200365	m22_00_00_00	m22_00_00_00	2200365	Kin Coldblood (12) x1	filler	False	1	Item_宝死体26（前の周で取得済み時）	-336.307,-4.778,780.652
52200370	m22_00_00_00	m22_00_00_00	2200370	Bloodshot Eyeball x1	filler	False	1	Item_宝死体27	-218.134,-31.387,500.668
52200380	m22_00_00_00	m22_00_00_00	2200380	unknown x1	optional	False	1	Item_宝死体28	-298.743,-11.333,676.508
52200385	m22_00_00_00	m22_00_00_00	2200385	Madman's Knowledge x1	filler	False	1	Item_宝死体28(差し替え用）	-298.743,-11.333,676.508
52200390	m22_00_00_00	m22_00_00_00	2200390	Madman's Knowledge x1	filler	False	1	Item_宝死体29	-200.845,-29.073,534.863
52200400	m22_00_00_00	m22_00_00_00	2200400	Molotov Cocktail x5	filler	False	1	Item_宝死体30	-215.73001,-6.154,602.822
52300000	m23_00_00_00	m23_00_00_00;m23_00_00_01	2300000	Antidote x1	filler	False	2	Item_宝死体00	88.05,-70.009995,19.76
52300010	m23_00_00_00	m23_00_00_00;m23_00_00_01	2300010	Blood Stone Shard x2	filler	False	2	Item_宝死体01	96.415,-67.908005,-56.75
52300020	m23_00_00_00	m23_00_00_00;m23_00_00_01	2300020	Blood Stone Shard x1	filler	False	2	Item_宝死体02	75.11,-80.33,-25.93
52300030	m23_00_00_00	m23_00_00_00;m23_00_00_01	2300030	Fire Paper x2	filler	False	2	Item_宝死体03	50.09,-82.97,-69.53
52300040	m23_00_00_00	m23_00_00_00;m23_00_00_01	2300040	unknown x1	optional	False	2	Item_宝死体04	45.964,-83.009995,-72.75
52300050	m23_00_00_00	m23_00_00_00;m23_00_00_01	2300050	Coldblood Dew (3) x1	filler	False	2	Item_宝死体05	36.631,-85.287,-68.324
52300060	m23_00_00_00	m23_00_00_00;m23_00_00_01	2300060	Blood Stone Shard x2	filler	False	2	Item_宝死体06	-52.560997,-100.130005,-89.322
52300070	m23_00_00_00	m23_00_00_00;m23_00_00_01	2300070	Bloody Messenger Head Bandage x1	key_or_badge	True	2	Item_宝死体07	-42,-93.19,-52.59
52300080	m23_00_00_00	m23_00_00_00;m23_00_00_01	2300080	Coldblood Dew (2) x1	filler	False	2	Item_宝死体08	52.75,-90.41,-55.96
52300090	m23_00_00_00	m23_00_00_00;m23_00_00_01	2300090	Blood Vial x1	filler	False	2	Item_宝死体09	148.797,-119.51,-67.537
52300100	m23_00_00_00	m23_00_00_00;m23_00_00_01	2300100	Blood Vial x1	filler	False	2	Item_宝死体10	133.26001,-119.26,-77.957
52300110	m23_00_00_00	m23_00_00_00;m23_00_00_01	2300110	Blood Vial x1	filler	False	2	Item_宝死体11	142.32599,-121.23,-97.108
52300120	m23_00_00_00	m23_00_00_00;m23_00_00_01	2300120	Beast Blood Pellet x6	filler	False	2	Item_宝死体12	-4.081001,-114.38,0.978
52300130	m23_00_00_00	m23_00_00_00;m23_00_00_01	2300130	Coldblood Dew (3) x1	filler	False	2	Item_宝死体13	-65.831,-125.965,-5.169
52300140	m23_00_00_00	m23_00_00_00;m23_00_00_01	2300140	Blood Stone Shard x2	filler	False	2	Item_宝死体14	-55.5,-110.13,-15.88
52300150	m23_00_00_00	m23_00_00_00;m23_00_00_01	2300150	Blood Stone Shard x2	filler	False	2	Item_宝死体15	41.002,-105.298,7.158
52300160	m23_00_00_00	m23_00_00_00;m23_00_00_01	2300160	Madman's Knowledge x1	filler	False	2	Item_宝死体16	-39.6,-107.57,-98.99
52300170	m23_00_00_00	m23_00_00_00;m23_00_00_01	2300170	Ritual Blood (1) x2	filler	False	2	Item_宝箱00（旧宝死体17）	-45.21,-107.55,-61.25
52300180	m23_00_00_00	m23_00_00_00;m23_00_00_01	2300180	Pungent Blood Cocktail x3	filler	False	2	Item_宝死体18	136.599,-65.024,38.66
52300190	m23_00_00_00	m23_00_00_00;m23_00_00_01	2300190	Fire Paper x2	filler	False	2	Item_宝死体19	46.78,-94.452,14.144
52300200	m23_00_00_00	m23_00_00_00;m23_00_00_01	2300200	Hunter's Torch x1	useful	True	2	Item_宝死体20	76.699,-90.375,16.295
52300210	m23_00_00_00	m23_00_00_00;m23_00_00_01	2300210	Antidote x1	filler	False	2	Item_宝死体21	47.385,-83.208,-84.145
52300220	m23_00_00_00	m23_00_00_00;m23_00_00_01	2300220	Molotov Cocktail x4	filler	False	2	Item_宝死体22	-46.04,-91.42,-70.77
52300230	m23_00_00_00	m23_00_00_00;m23_00_00_01	2300230	Blood Stone Shard x2	filler	False	2	Item_宝死体23	70.124,-82.990005,-72.481
52300240	m23_00_00_00	m23_00_00_00;m23_00_00_01	2300240	Blood Vial x6	filler	False	2	Item_宝死体24	14.544998,-111.216,-40.029
52300250	m23_00_00_00	m23_00_00_00;m23_00_00_01	2300250	Pebble x3	filler	False	2	Item_宝死体25	
52300260	m23_00_00_00	m23_00_00_00;m23_00_00_01	2300260	Molotov Cocktail x3	filler	False	2	Item_宝死体26	
52300270	m23_00_00_00	m23_00_00_00;m23_00_00_01	2300270	unknown x1	filler	False	2	Item_宝死体27	
52300280	m23_00_00_00	m23_00_00_00;m23_00_00_01	2300280	Antidote x4	filler	False	2	Item_宝死体28	132.48001,-56.138,19.286
52300290	m23_00_00_00	m23_00_00_00;m23_00_00_01	2300290	Coldblood Dew (2) x1	filler	False	2	Item_宝死体29	70.772,-67.881,43.727
52300300	m23_00_00_00	m23_00_00_00;m23_00_00_01	2300300	unknown x1	optional	False	2	Item_宝箱01（旧宝死体30）	62.168,-101.263,-50.256
52300310	m23_00_00_00	m23_00_00_00;m23_00_00_01	2300310	Antidote x3	filler	False	2	Item_宝死体31	-147.685,-126.38,65.266
52300320	m23_00_00_00	m23_00_00_00;m23_00_00_01	2300320	Antidote x3	filler	False	2	Item_宝死体32	5.375999,-113.144,-80.68
52300330	m23_00_00_00	m23_00_00_00;m23_00_00_01	2300330	Quicksilver Bullets x10	filler	False	2	Item_宝死体33	-11.834999,-114.843,15.098
52300340	m23_00_00_00	m23_00_00_00;m23_00_00_01	2300340	Coldblood Dew (3) x1	filler	False	2	Item_宝死体34	52.34,-99.468,13.053
52300350	m23_00_00_00	m23_00_00_00;m23_00_00_01	2300350	Blood Stone Shard x1	filler	False	2	Item_宝死体35	75.345,-75.139,22.725
52300360	m23_00_00_00	m23_00_00_00;m23_00_00_01	2300360	Madman's Knowledge x1	filler	False	2	Item_宝死体36	-40.239998,-85.465,-87.575
52300370	m23_00_00_00	m23_00_00_00;m23_00_00_01	2300370	Coldblood Dew (2) x1	filler	False	2	Item_宝死体37	113.731995,-67.858,-51.39
52300380	m23_00_00_00	m23_00_00_00;m23_00_00_01	2300380	Blood Vial x6	filler	False	2	Item_宝死体38	72.175,-101.1,-35.34
52300390	m23_00_00_00	m23_00_00_00;m23_00_00_01	2300390	Rifle Spear x1	useful	True	2	Item_宝死体39	75.42,-95.3,-30.57
52300400	m23_00_00_00	m23_00_00_00;m23_00_00_01	2300400	Charred Hunter Garb x1	useful	True	2	Item_宝死体40	65.604996,-89.39,-52.907
52300410	m23_00_00_00	m23_00_00_00;m23_00_00_01	2300410	Molotov Cocktail x5	filler	False	2	Item_宝死体41	54.731,-101.074,-41.599
52300420	m23_00_00_00	m23_00_00_00;m23_00_00_01	2300420	Antidote x2	filler	False	2	Item_宝死体42	-14.632004,-85.18,-48.408
52300430	m23_00_00_00	m23_00_00_00;m23_00_00_01	2300430	Antidote x3	filler	False	2	Item_宝死体43	-25.265,-93.085,-98.195
52300440	m23_00_00_00	m23_00_00_00;m23_00_00_01	2300440	Pungent Blood Cocktail x2	filler	False	2	Item_宝死体44	31.925,-115.42,-49.935
52300450	m23_00_00_00	m23_00_00_00;m23_00_00_01	2300450	Antidote x1	filler	False	2	Item_宝死体45	43.555,-115.261,13.169
52300460	m23_00_00_00	m23_00_00_00;m23_00_00_01	2300460	Bold Hunter's Mark x2	filler	False	2	Item_宝死体46	-16.877998,-110.59,0.855
52300470	m23_00_00_00	m23_00_00_00;m23_00_00_01	2300470	Coldblood Dew (2) x1	filler	False	2	Item_宝死体47	122.93,-42.67,20.72
52300480	m23_00_00_00	m23_00_00_00;m23_00_00_01	2300480	Blood Vial x6	filler	False	2	Item_宝死体48	111.03,-67.9,-2.79
52300490	m23_00_00_00	m23_00_00_00;m23_00_00_01	2300490	Antidote x3	filler	False	2	Item_宝死体49	59.2,-80.28,-38.25
52300500	m23_00_00_00	m23_00_00_00;m23_00_00_01	2300500	Coldblood Dew (2) x1	filler	False	2	Item_宝死体50	-24.89,-101.35,-78.08
52300510	m23_00_00_00	m23_00_00_00;m23_00_00_01	2300510	Blood Stone Shard x2	filler	False	2	Item_宝死体51	93.03,-117.82,-61.42
52300520	m23_00_00_00	m23_00_00_00;m23_00_00_01	2300520	Coldblood Dew (3) x1	filler	False	2	Item_宝死体52	-52.83,-129.85,21.2
52300530	m23_00_00_00	m23_00_00_00;m23_00_00_01	2300530	Antidote x3	filler	False	2	Item_宝死体53	55.22,-82.5,-51.28
52400100	m24_00_00_00	m24_00_00_00;m24_00_00_01	2400100	Pungent Blood Cocktail x2	filler	False	2	Item 宝箱00（宝死体00 C）	65.14,30.38,159.09
52400120	m24_00_00_00	m24_00_00_00;m24_00_00_01	2400120	Top Hat x1	useful	True	2	Item 宝死体02 A小広場邪神	-20.14,-15.17,93.94
52400130	m24_00_00_00	m24_00_00_00;m24_00_00_01	2400130	Blood Stone Shard x2	filler	False	2	Item 宝死体03 A大階段_入口	-36.89,-11.48,76.99
52400140	m24_00_00_00	m24_00_00_00;m24_00_00_01	2400140	Madman's Knowledge x1	filler	False	2	Item 宝死体04 A広場	-34.35,-0.22,160.26
52400150	m24_00_00_00	m24_00_00_00;m24_00_00_01	2400150	Thick Coldblood (5) x1	filler	False	2	Item 宝死体05　AＳＣ脇道	15.65,5.51,211.59
52400160	m24_00_00_00	m24_00_00_00;m24_00_00_01	2400160	Quicksilver Bullets x2	filler	False	2	Item 宝死体06　A大階段_踊り場	
52400170	m24_00_00_00	m24_00_00_00;m24_00_00_01	2400170	Madman's Knowledge x1	filler	False	2	Item 宝死体07　A広場	-49.95,0.58,158.2
52400180	m24_00_00_00	m24_00_00_00;m24_00_00_01	2400180	Bloodshot Eyeball x1	filler	False	2	Item 宝死体08　A墓地街前	-15.13,21.74,284.98
52400190	m24_00_00_00	m24_00_00_00;m24_00_00_01	2400190	Blood Vial x1	filler	False	2	Item 宝死体09　A裏路地_建物内	
52400200	m24_00_00_00	m24_00_00_00;m24_00_00_01	2400200	Madman's Knowledge x1	filler	False	2	Item 宝死体10　A廃墟のつなぎ建物内2階	80,-21.81,61.37
52400210	m24_00_00_00	m24_00_00_00;m24_00_00_01	2400210	Poison Knife x12	filler	False	2	Item 宝死体11　A裏路地_入口	-99.37,-3.39,141.74
52400220	m24_00_00_00	m24_00_00_00;m24_00_00_01	2400220	Madman's Knowledge x1	filler	False	2	Item 宝死体12　A広場	-38.07,0.14,175.78
52400230	m24_00_00_00	m24_00_00_00;m24_00_00_01	2400230	Blood Vial x6	filler	False	2	Item 宝死体13　A大階段_上	-3.23,11.6,215.41
52400240	m24_00_00_00	m24_00_00_00;m24_00_00_01	2400240	Monocular x1	filler	False	2	Item 宝死体14　A旧入り口_犬	-78.52,-18.1,41.37
52400250	m24_00_00_00	m24_00_00_00;m24_00_00_01	2400250	Pebble x1	filler	False	2	Item 宝死体15　A廃墟のつなぎ_トラップ	
52400260	m24_00_00_00	m24_00_00_00;m24_00_00_01	2400260	Blood Vial x2	filler	False	2	Item 宝死体16　A裏路地広場2階	-78.54,-2.18,185.68
52400270	m24_00_00_00	m24_00_00_00;m24_00_00_01	2400270	Black Messenger Hat x1	key_or_badge	True	2	Item 宝死体17　A屋根の上	14.78,2.26,154.44
52400280	m24_00_00_00	m24_00_00_00;m24_00_00_01	2400280	Numbing Mist x6	filler	False	2	Item 宝死体18　AＳＣ_塔上	22.85,13.11,174.73
52400290	m24_00_00_00	m24_00_00_00;m24_00_00_01	2400290	Black Church Hat x1	useful	True	2	Item 宝死体19　A裏路地	-112.23,-9.59,170.27
52400300	m24_00_00_00	m24_00_00_00;m24_00_00_01	2400300	unknown x1	optional	False	2	Item 宝死体20　A森入口	-109.96,-2.51,198.52
52400310	m24_00_00_00	m24_00_00_00;m24_00_00_01	2400310	Shining Coins x12	filler	False	2	Item 宝死体21　A裏路地から見える森入口	-85.884,-0.05,164.582
52400320	m24_00_00_00	m24_00_00_00;m24_00_00_01	2400320	Blood Vial x6	filler	False	2	Item 宝死体22 A小広場廃墟側	-13.13,-15.45,72.54
52400330	m24_00_00_00	m24_00_00_00;m24_00_00_01	2400330	Blood Stone Shard x3	filler	False	2	Item 宝死体23 A旧入り口	-80.79,-18.6,65.95
52400340	m24_00_00_00	m24_00_00_00;m24_00_00_01	2400340	Quicksilver Bullets x10	filler	False	2	Item 宝死体24　A見晴らし塔	-36.13,4.57,196.62
52400350	m24_00_00_00	m24_00_00_00;m24_00_00_01	2400350	Thick Coldblood (4) x1	filler	False	2	Item 宝死体25　A広場入口脇	-63.09,-0.97,149.32
52400360	m24_00_00_00	m24_00_00_00;m24_00_00_01	2400360	Madman's Knowledge x1	filler	False	2	Item 宝死体26　A廃墟のつなぎ建物内	87.41,-26.54,66.67
52400370	m24_00_00_00	m24_00_00_00;m24_00_00_01	2400370	Thick Coldblood (6) x1	filler	False	2	Item 宝死体27 A裏水路から来た	15.25,3.73,187.31
52400380	m24_00_00_00	m24_00_00_00;m24_00_00_01	2400380	Throwing Knife x3	filler	False	2	Item 宝死体28　A屋根の上	
52400390	m24_00_00_00	m24_00_00_00;m24_00_00_01	2400390	Molotov Cocktail x4	filler	False	2	Item 宝死体29　A廃墟のつなぎ建物外	66.33,-29.65,43.15
52400400	m24_00_00_00	m24_00_00_00;m24_00_00_01	2400400	Coldblood Dew (2) x1	filler	False	2	Item 宝死体30　A廃墟のつなぎ建物外	57.75,-29.544,46.65
52400410	m24_00_00_00	m24_00_00_00;m24_00_00_01	2400410	Madman's Knowledge x1	filler	False	2	Item 宝死体34　C	55.31,-17.49,154.12
52400420	m24_00_00_00	m24_00_00_00;m24_00_00_01	2400420	Thick Coldblood (6) x1	filler	False	2	Item 宝死体01 C	52.528,22.83,141.375
52400430	m24_00_00_00	m24_00_00_00;m24_00_00_01	2400430	unknown x1	optional	False	2	Item 宝死体33　C	72.39,-51.642,250.65
52400440	m24_00_00_00	m24_00_00_00;m24_00_00_01	2400440	Thick Coldblood (6) x1	filler	False	2	Item 宝死体32　C	49.31,30.44,161.44
52400450	m24_00_00_00	m24_00_00_00;m24_00_00_01	2400450	Hunter Chief Emblem x1	key_or_badge	True	2	Item 宝死体35　A広場入口脇	-56.32,-0.16,127.05
52400460	m24_00_00_00	m24_00_00_00;m24_00_00_01	2400460	Thick Coldblood (5) x1	filler	False	2	Item 宝死体36 A広場入口脇	-28.73,-0.2,123.68
52400470	m24_00_00_00	m24_00_00_00;m24_00_00_01	2400470	Thick Coldblood (4) x1	filler	False	2	Item 宝死体37 裏路地広場2階トラップ奥	-80.16,-2.33,173.25
52400480	m24_00_00_00	m24_00_00_00;m24_00_00_01	2400480	Radiant Sword Hunter Badge x1	key_or_badge	True	2	Item 宝箱01（宝死体39 C_接続塔_終点）	57.52,30.38,162.417
52400485	m24_00_00_00	m24_00_00_00;m24_00_00_01	2400485	Bold Hunter's Mark x1	filler	False	2	Item 宝箱01（05 アイテム差し替え）	57.52,30.38,162.417
52410100	m24_01_00_00	m24_01_00_00;m24_01_00_01;m24_01_00_11	2410100	Saw Spear x1	useful	True	3	Item_宝死体_100	-126.422676,-67.96971,-103.74716
52410110	m24_01_00_00	m24_01_00_00;m24_01_00_01;m24_01_00_11	2410110	Blood Stone Shard x2	filler	False	3	Item_宝死体_110	-121.90256,-68.04549,-87.966255
52410120	m24_01_00_00	m24_01_00_00;m24_01_00_01;m24_01_00_11	2410120	Blood Vial x2	filler	False	3	Item_宝死体_120	-182.329,-50.545,132.89
52410130	m24_01_00_00	m24_01_00_00;m24_01_00_01;m24_01_00_11	2410130	Coldblood Dew (1) x1	filler	False	3	Item_宝死体_130	-208.51,-47.49,115.73
52410140	m24_01_00_00	m24_01_00_00;m24_01_00_01;m24_01_00_11	2410140	Madman's Knowledge x1	filler	False	3	Item_宝死体_140	-210.73,-54.32,184.02
52410150	m24_01_00_00	m24_01_00_00;m24_01_00_01;m24_01_00_11	2410150	Coldblood Dew (1) x1	filler	False	3	Item_宝死体_150	-213.743,-37.451,-18.165
52410160	m24_01_00_00	m24_01_00_00;m24_01_00_01;m24_01_00_11	2410160	Pebble x8	filler	False	3	Item_宝死体_160	-216.674,-31.377,61.493
52410170	m24_01_00_00	m24_01_00_00;m24_01_00_01;m24_01_00_11	2410170	Blood Stone Shard x1	filler	False	3	Item_宝死体_170	-255.68,-35.134953,37.29
52410180	m24_01_00_00	m24_01_00_00;m24_01_00_01;m24_01_00_11	2410180	Blood Stone Shard x1	filler	False	3	Item_宝死体_180	-181.505,-37.356,-7.018
52410190	m24_01_00_00	m24_01_00_00;m24_01_00_01;m24_01_00_11	2410190	Blood Vial x2	filler	False	3	Item_宝死体_190	-173.241,-37.289,-20.341
52410200	m24_01_00_00	m24_01_00_00;m24_01_00_01;m24_01_00_11	2410200	Molotov Cocktail x4	filler	False	3	Item_宝死体_200	-200.06,-40.409,-12.9
52410210	m24_01_00_00	m24_01_00_00;m24_01_00_01;m24_01_00_11	2410210	Blood Stone Shard x1	filler	False	3	Item_宝死体_210	-246.42,-31.5,-20.37
52410220	m24_01_00_00	m24_01_00_00;m24_01_00_01;m24_01_00_11	2410220	Pungent Blood Cocktail x2	filler	False	3	Item_宝死体_220	-201.836,-36.189,17.924
52410240	m24_01_00_00	m24_01_00_00;m24_01_00_01;m24_01_00_11	2410240	Coldblood Dew (3) x1	filler	False	3	Item_宝死体_240	-128.543,-43.433,-26.239
52410250	m24_01_00_00	m24_01_00_00;m24_01_00_01;m24_01_00_11	2410250	Madman's Knowledge x1	filler	False	3	Item_宝死体_250	-110.59,-70.847,-85.22
52410260	m24_01_00_00	m24_01_00_00;m24_01_00_01;m24_01_00_11	2410260	Coldblood Dew (1) x1	filler	False	3	Item_宝死体_260	-140.1,-60.993,-150.37
52410270	m24_01_00_00	m24_01_00_00;m24_01_00_01;m24_01_00_11	2410270	Quicksilver Bullets x10	filler	False	3	Item_宝死体_270	-181.05,-75.277,-75.22
52410280	m24_01_00_00	m24_01_00_00;m24_01_00_01;m24_01_00_11	2410280	Coldblood Dew (2) x1	filler	False	3	Item_宝死体_280	-91.91,-78.262,5.15
52410290	m24_01_00_00	m24_01_00_00;m24_01_00_01;m24_01_00_11	2410290	Saw Hunter Badge x1	key_or_badge	True	3	Item_宝死体_290（ショップ解禁 工房A）	-88.35,-78.234,-4.66
52410295	m24_01_00_00	m24_01_00_00;m24_01_00_01;m24_01_00_11	2410295	Bold Hunter's Mark x1	filler	False	3	Item_宝死体_290（差し替え用）	-88.35,-78.234,-4.66
52410310	m24_01_00_00	m24_01_00_00;m24_01_00_01;m24_01_00_11	2410310	Pebble x10	filler	False	3	Item_宝死体_310	-235.29,-31.41,-4.61
52410330	m24_01_00_00	m24_01_00_00;m24_01_00_01;m24_01_00_11	2410330	Blood Stone Shard x1	filler	False	3	Item_宝死体_330	-171.594,-65.615,-96.582
52410340	m24_01_00_00	m24_01_00_00;m24_01_00_01;m24_01_00_11	2410340	Blood Vial x4	filler	False	3	Item_宝死体_340	-175.19,-48.408,96.709
52410360	m24_01_00_00	m24_01_00_00;m24_01_00_01;m24_01_00_11	2410360	Blood Vial x2	filler	False	3	Item_宝死体_360	-185.359,-43.798,72.183
52410370	m24_01_00_00	m24_01_00_00;m24_01_00_01;m24_01_00_11	2410370	Oil Urn x2	filler	False	3	Item_宝死体_370	-170.03,-40.218,-47.51
52410380	m24_01_00_00	m24_01_00_00;m24_01_00_01;m24_01_00_11	2410380	Blood Vial x2	filler	False	3	Item_宝死体_380	-203.47,-40.383,-11.328
52410390	m24_01_00_00	m24_01_00_00;m24_01_00_01;m24_01_00_11	2410390	Blood Vial x6	filler	False	3	Item_宝死体_390	-219.717,-34.489,-63.268
52410400	m24_01_00_00	m24_01_00_00;m24_01_00_01;m24_01_00_11	2410400	Blood Stone Shard x1	filler	False	3	Item_宝死体_400	-236.683,-26.491,-38.311
52410430	m24_01_00_00	m24_01_00_00;m24_01_00_01;m24_01_00_11	2410430	Quicksilver Bullets x10	filler	False	3	Item_宝死体_430	-117.39,-26.635,65.475
52410440	m24_01_00_00	m24_01_00_00;m24_01_00_01;m24_01_00_11	2410440	Coldblood Dew (1) x1	filler	False	3	Item_宝死体_440	-115.2,-50.652,-102.27
52410450	m24_01_00_00	m24_01_00_00;m24_01_00_01;m24_01_00_11	2410450	Coldblood Dew (1) x1	filler	False	3	Item_宝死体_450	-137.365,-60.848,-86.068
52410470	m24_01_00_00	m24_01_00_00;m24_01_00_01;m24_01_00_11	2410470	Oil Urn x2	filler	False	3	Item_宝死体_470	-158.18,-60.832,-102.38
52410480	m24_01_00_00	m24_01_00_00;m24_01_00_01;m24_01_00_11	2410480	Madman's Knowledge x1	filler	False	3	Item_宝死体_480	-149.9,-46.322,-86.29
52410490	m24_01_00_00	m24_01_00_00;m24_01_00_01;m24_01_00_11	2410490	Blood Stone Shard x1	filler	False	3	Item_宝死体_490	-127.606,-78.169,-56.405
52410510	m24_01_00_00	m24_01_00_00;m24_01_00_01;m24_01_00_11	2410510	Bold Hunter's Mark x2	filler	False	3	Item_宝死体_510	-54.64,-48.677,44.03
52410520	m24_01_00_00	m24_01_00_00;m24_01_00_01;m24_01_00_11	2410520	Torch x1	useful	True	3	Item_宝死体_520	-202.46,-40.377,-14.7
52410530	m24_01_00_00	m24_01_00_00;m24_01_00_01;m24_01_00_11	2410530	Coldblood Dew (1) x1	filler	False	3	Item_宝死体_530	-193.97,-31.253,24.54
52410540	m24_01_00_00	m24_01_00_00;m24_01_00_01;m24_01_00_11	2410540	Blood Stone Shard x1	filler	False	3	Item_宝死体_540	-250.09,-31.44,-3.21
52410560	m24_01_00_00	m24_01_00_00;m24_01_00_01;m24_01_00_11	2410560	Quicksilver Bullets x5	filler	False	3	Item_宝死体_560	-231.36,-37.334,-6.31
52410570	m24_01_00_00	m24_01_00_00;m24_01_00_01;m24_01_00_11	2410570	Molotov Cocktail x4	filler	False	3	Item_宝死体_570	-238.47,-37.4,54.99
52410580	m24_00_00_00	m24_00_00_00;m24_00_00_01	2400760	unknown x1	optional	False	2	Item_宝箱06	-117.05,-26.74,78.34
52410590	m24_01_00_00	m24_01_00_00;m24_01_00_01;m24_01_00_11	2410590	Molotov Cocktail x6	filler	False	3	Item_宝死体_590	-169.27,-44.11,65.28
52410600	m24_01_00_00	m24_01_00_00;m24_01_00_01;m24_01_00_11	2410600	Coldblood Dew (1) x1	filler	False	3	Item_宝死体_600	-222.9,-37.44,30.53
